sequence,camera,subset,n_frames,frame_hash_scene,frame_hash_fusion,scene_prediction_hash_scene,scene_prediction_hash_fusion,grid_hash_scene,grid_hash_fusion,f_scene_scene,f_scene_fusion,same_frames,same_scene,same_grid,same_scene_nuisance,C3_flat_hand_reproduces_S0,only_hand_term_differs
p36-tea-0010,brics-odroid-002_cam0,LOW32,32,532883f0e0f7bce4b39fa278ae5161453a419e931c1548e786e8daa42af9a84c,532883f0e0f7bce4b39fa278ae5161453a419e931c1548e786e8daa42af9a84c,2cb541da254b6c42a82dd572be63497106c5dae84a1082e8bb1fe7bae5cc6684,2cb541da254b6c42a82dd572be63497106c5dae84a1082e8bb1fe7bae5cc6684,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,875.3583374023438,875.3583374023438,1,1,1,1,1,1
p36-tea-0010,brics-odroid-002_cam0,N16,16,0af5bf782a77a2ce4ec8caefc47f24e48f323d2745d8165c1cef33c40fcde507,0af5bf782a77a2ce4ec8caefc47f24e48f323d2745d8165c1cef33c40fcde507,0b66d190f4fce784854f3f53a28bf506faeec86c90ffa6af4b59ac2acca8c62b,0b66d190f4fce784854f3f53a28bf506faeec86c90ffa6af4b59ac2acca8c62b,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,880.6496887207031,880.6496887207031,1,1,1,1,1,1
p36-tea-0010,brics-odroid-002_cam0,N32,32,0868e41db47ebf325f0c6f1dc7c134c7b6acc29ff991413a8a051f5980c3cf1d,0868e41db47ebf325f0c6f1dc7c134c7b6acc29ff991413a8a051f5980c3cf1d,6b2b74437f96451f388ff3a3869eb87830b2dd5b8aeddcbf913ce4daf3001a71,6b2b74437f96451f388ff3a3869eb87830b2dd5b8aeddcbf913ce4daf3001a71,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,879.3855285644531,879.3855285644531,1,1,1,1,1,1
p36-tea-0010,brics-odroid-002_cam0,N8,8,5e39a1d10e8e79f03b8023076e1204d191f2990a97eb26ec7bc197b762ff6625,5e39a1d10e8e79f03b8023076e1204d191f2990a97eb26ec7bc197b762ff6625,b46d92448feded325dd33ffdfa4dd2e7d976e8e88d91db2943a96bf1e6fc131e,b46d92448feded325dd33ffdfa4dd2e7d976e8e88d91db2943a96bf1e6fc131e,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,884.5640563964844,884.5640563964844,1,1,1,1,1,1
p36-tea-0010,brics-odroid-006_cam0,ALL_COMMON,27,9d0e4caf10f9b69c0cb195fb61849754db9fb12f8da6784c2ef89490d291c83e,9d0e4caf10f9b69c0cb195fb61849754db9fb12f8da6784c2ef89490d291c83e,65e2642237d9245b6591d0f77f6274cdfe80eee90cce593d030b2dafad2c0403,65e2642237d9245b6591d0f77f6274cdfe80eee90cce593d030b2dafad2c0403,e3e1e5534321be1b9acca290ee00bd593a61dfe6f44163640e8a67eae353e038,e3e1e5534321be1b9acca290ee00bd593a61dfe6f44163640e8a67eae353e038,852.055908203125,852.055908203125,1,1,1,1,1,1
p36-tea-0010,brics-odroid-006_cam0,N16,16,79182e1b0ec28fa360cef0d717ec2ccdb1cada1048ff125b7a84cdecfd38e1c8,79182e1b0ec28fa360cef0d717ec2ccdb1cada1048ff125b7a84cdecfd38e1c8,b8ee203ead90047bc5e7da35bdfcdab8fe5c0715cf97bf258d5574acc432c766,b8ee203ead90047bc5e7da35bdfcdab8fe5c0715cf97bf258d5574acc432c766,e3e1e5534321be1b9acca290ee00bd593a61dfe6f44163640e8a67eae353e038,e3e1e5534321be1b9acca290ee00bd593a61dfe6f44163640e8a67eae353e038,851.936279296875,851.936279296875,1,1,1,1,1,1
p36-tea-0010,brics-odroid-006_cam0,N8,8,3f4bd5a4c7b43ff5cc39c15e4b79a82324e5c5482958f79b3c138f68b49eb873,3f4bd5a4c7b43ff5cc39c15e4b79a82324e5c5482958f79b3c138f68b49eb873,e68eac9149a8a4d8f1ec3e20b3d20e39bba3e1ced675d637c98bf40f19660b09,e68eac9149a8a4d8f1ec3e20b3d20e39bba3e1ced675d637c98bf40f19660b09,e3e1e5534321be1b9acca290ee00bd593a61dfe6f44163640e8a67eae353e038,e3e1e5534321be1b9acca290ee00bd593a61dfe6f44163640e8a67eae353e038,852.9641418457031,852.9641418457031,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam0,ALL_COMMON,60,b1f354b3eaa7c56c82010fe81d21d646d0bc3e4b16105434185043aa5806b6b8,b1f354b3eaa7c56c82010fe81d21d646d0bc3e4b16105434185043aa5806b6b8,d63137c9deb3c38d5df0c308c175c505f7fd4a5645a2c9086cb1eb0fa6661889,d63137c9deb3c38d5df0c308c175c505f7fd4a5645a2c9086cb1eb0fa6661889,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,883.5841674804688,883.5841674804688,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam0,DIVERSE16,16,40c26e30edc639ef821f23e967cab5b38b7c048da2d927e2ad719484af4ec49c,40c26e30edc639ef821f23e967cab5b38b7c048da2d927e2ad719484af4ec49c,8d14f509b4194fdb1490ea546edbd8f015bd82475524def789de892483c136ee,8d14f509b4194fdb1490ea546edbd8f015bd82475524def789de892483c136ee,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,885.8265380859375,885.8265380859375,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam0,DIVERSE32,32,17e999b0b180dbacf6e12a64a6fd39ecf908b9282121fa125c321b274065793d,17e999b0b180dbacf6e12a64a6fd39ecf908b9282121fa125c321b274065793d,264d29a35d84b6a16927046ac974682b8635eb52bb676b8121a820f65849a7c2,264d29a35d84b6a16927046ac974682b8635eb52bb676b8121a820f65849a7c2,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,882.3865051269531,882.3865051269531,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam0,LOW16,16,a6cd928ce23fef04b441e91249e841945ca9c9482ebdfe240d8af4aa8c9261c3,a6cd928ce23fef04b441e91249e841945ca9c9482ebdfe240d8af4aa8c9261c3,de196a34dd6293a0cafa81c67596b3934a9c585a048ed36a03256b898cd31f61,de196a34dd6293a0cafa81c67596b3934a9c585a048ed36a03256b898cd31f61,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,902.6737976074219,902.6737976074219,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam0,LOW32,32,ad29e8ea96a91bcf647941a33793df256a873cba8b1b9acc22bf0aae8afdee0d,ad29e8ea96a91bcf647941a33793df256a873cba8b1b9acc22bf0aae8afdee0d,4125ed55b906b085e81cf05b87c03fa38066d0e1d0dbea2889a4d83893200ed2,4125ed55b906b085e81cf05b87c03fa38066d0e1d0dbea2889a4d83893200ed2,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,901.5436401367188,901.5436401367188,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam0,N16,16,009b8dcaa836c179f119b74998a63a4b2829e56a33765af7e7c7f35d8daeecd0,009b8dcaa836c179f119b74998a63a4b2829e56a33765af7e7c7f35d8daeecd0,f46ae032d53e8931ee308c97bc9acef27d15fbe4e06eb7a39f89924fe3f6752b,f46ae032d53e8931ee308c97bc9acef27d15fbe4e06eb7a39f89924fe3f6752b,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,882.5112915039062,882.5112915039062,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam0,N32,32,06283d9cfaf13af21dbda4412b2dce66fbf55e40c54e07a0adf0dc85d4eb3952,06283d9cfaf13af21dbda4412b2dce66fbf55e40c54e07a0adf0dc85d4eb3952,70f4658565dd0815d806db45c83d915cf9ea7dc7ac21db5183a566f9895c8972,70f4658565dd0815d806db45c83d915cf9ea7dc7ac21db5183a566f9895c8972,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,882.5112915039062,882.5112915039062,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam0,N8,8,b15b89af0e452ade37d5890e13f3bbf81fd138c0a996d6577406e7190a5e3cf1,b15b89af0e452ade37d5890e13f3bbf81fd138c0a996d6577406e7190a5e3cf1,4574bd3bc5d962c7ce7b785709fbf97354bdfec2f4ecbe85b47fb23124ac4e7c,4574bd3bc5d962c7ce7b785709fbf97354bdfec2f4ecbe85b47fb23124ac4e7c,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,d3ad10dbfeaa6b46aeb6edad70bd4f6d37097023f788a0519042531db063f31a,887.0146789550781,887.0146789550781,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam1,ALL_COMMON,59,9f52dc8c394a73ea5aefadc34946f0578c169fbf6504acd15804f4d0cf138eeb,9f52dc8c394a73ea5aefadc34946f0578c169fbf6504acd15804f4d0cf138eeb,fc98491ad84d168d06ec28ea6f646124a5b0f6f2d2b7878d3327eafdd6ffbc87,fc98491ad84d168d06ec28ea6f646124a5b0f6f2d2b7878d3327eafdd6ffbc87,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,868.883056640625,868.883056640625,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam1,DIVERSE16,16,be55b01ac179a0a64e317efbd880bb253210d33b8e494a1d4e202f3fa2e7e000,be55b01ac179a0a64e317efbd880bb253210d33b8e494a1d4e202f3fa2e7e000,f9d343d160f21403b5a1803fbbbf7cad551a85232c2c2025e37ed378a6d056cf,f9d343d160f21403b5a1803fbbbf7cad551a85232c2c2025e37ed378a6d056cf,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,868.2949523925781,868.2949523925781,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam1,DIVERSE32,32,a152bb248ad78f07797d6aa3c9d7e12acfe71d53e17142dcd7a6f93cae2d619c,a152bb248ad78f07797d6aa3c9d7e12acfe71d53e17142dcd7a6f93cae2d619c,63211353da81a7fd521a9c710acee42fed2e62350cfad48bae894e9408d0944e,63211353da81a7fd521a9c710acee42fed2e62350cfad48bae894e9408d0944e,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,868.2949523925781,868.2949523925781,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam1,LOW16,16,e0639ce46b4adee72cea0f9ebbeb7772781cee5dd620b3eb1ec8b8264eae9f68,e0639ce46b4adee72cea0f9ebbeb7772781cee5dd620b3eb1ec8b8264eae9f68,9bc2503e81f747806c7182ad3011493d2f919fd9e70a916993873c86ac7022c0,9bc2503e81f747806c7182ad3011493d2f919fd9e70a916993873c86ac7022c0,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,879.4874877929688,879.4874877929688,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam1,LOW32,32,1b0afe0d428e4402ad5def8eb3bf243a19b66a3528b77ae0d5d8169dbc501a23,1b0afe0d428e4402ad5def8eb3bf243a19b66a3528b77ae0d5d8169dbc501a23,5cd707df21e50dc7e4c356fe12473bfc222e330e92b80af413b8dfbb25816593,5cd707df21e50dc7e4c356fe12473bfc222e330e92b80af413b8dfbb25816593,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,879.1078796386719,879.1078796386719,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam1,N16,16,009b8dcaa836c179f119b74998a63a4b2829e56a33765af7e7c7f35d8daeecd0,009b8dcaa836c179f119b74998a63a4b2829e56a33765af7e7c7f35d8daeecd0,0fd2ec75ae281852dc5395f6a08a10c161a89b1b832fce763de422ffba2824aa,0fd2ec75ae281852dc5395f6a08a10c161a89b1b832fce763de422ffba2824aa,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,863.5027160644531,863.5027160644531,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam1,N32,32,06283d9cfaf13af21dbda4412b2dce66fbf55e40c54e07a0adf0dc85d4eb3952,06283d9cfaf13af21dbda4412b2dce66fbf55e40c54e07a0adf0dc85d4eb3952,caad20580dd6c3ff94e6a85ebfc11f237332423d0fb239d80985dd8064c8d732,caad20580dd6c3ff94e6a85ebfc11f237332423d0fb239d80985dd8064c8d732,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,868.9289855957031,868.9289855957031,1,1,1,1,1,1
p36-tea-0010,brics-odroid-007_cam1,N8,8,b15b89af0e452ade37d5890e13f3bbf81fd138c0a996d6577406e7190a5e3cf1,b15b89af0e452ade37d5890e13f3bbf81fd138c0a996d6577406e7190a5e3cf1,5c7ad75a33bc9da97cf8b36232289d1b8db16837c1ff33040ef6b378d9247c3a,5c7ad75a33bc9da97cf8b36232289d1b8db16837c1ff33040ef6b378d9247c3a,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,ce659a7768e8e3c9c6df03933a77b6286c808ea69d5ae18d5aececc7b7640821,863.5027160644531,863.5027160644531,1,1,1,1,1,1
p36-tea-0010,brics-odroid-009_cam1,ALL_COMMON,60,b1f354b3eaa7c56c82010fe81d21d646d0bc3e4b16105434185043aa5806b6b8,b1f354b3eaa7c56c82010fe81d21d646d0bc3e4b16105434185043aa5806b6b8,2a1955dc024336b98051a2aee60a8dd33384c4d2e79b96197b0791e198884191,2a1955dc024336b98051a2aee60a8dd33384c4d2e79b96197b0791e198884191,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,756.7066955566406,756.7066955566406,1,1,1,1,1,1
p36-tea-0010,brics-odroid-009_cam1,DIVERSE16,16,01e92806cdda4446639beb2ab97bef79f6477b75c9c0e939f90da0c85fa57f71,01e92806cdda4446639beb2ab97bef79f6477b75c9c0e939f90da0c85fa57f71,743ebd967bb14a80c3d29ecf53a92034ebfa5b091e4fd787cdcd6f5363595975,743ebd967bb14a80c3d29ecf53a92034ebfa5b091e4fd787cdcd6f5363595975,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,752.61474609375,752.61474609375,1,1,1,1,1,1
p36-tea-0010,brics-odroid-009_cam1,DIVERSE32,32,fe7e6ba69a0d2ab0e37549151d4e063d410f118e8a7cd50dd5c8865022f47a7f,fe7e6ba69a0d2ab0e37549151d4e063d410f118e8a7cd50dd5c8865022f47a7f,b60d618fe94868b51c4f7debd27160e742b9ef03e8271a65644f3b73fc80f0fc,b60d618fe94868b51c4f7debd27160e742b9ef03e8271a65644f3b73fc80f0fc,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,752.4557495117188,752.4557495117188,1,1,1,1,1,1
p36-tea-0010,brics-odroid-009_cam1,LOW16,16,d1ab42894311640b1fe21ae425392ce11edb6d9822d6c1c2e404203520778a4a,d1ab42894311640b1fe21ae425392ce11edb6d9822d6c1c2e404203520778a4a,3a4f93ff2dfef112c37f224caa494ef972abb98adbd75bc1be142fbd513ecee9,3a4f93ff2dfef112c37f224caa494ef972abb98adbd75bc1be142fbd513ecee9,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,759.8449096679688,759.8449096679688,1,1,1,1,1,1
p36-tea-0010,brics-odroid-009_cam1,LOW32,32,a0ff6f4f6480dace7c2772e5c40cfa62bdd95e6907c1e59309cae49baaaf7821,a0ff6f4f6480dace7c2772e5c40cfa62bdd95e6907c1e59309cae49baaaf7821,e94626009f5f96aac68a4b9c4fd26b0e2fe988eb63b00ac5ed5a3ac994a14bb2,e94626009f5f96aac68a4b9c4fd26b0e2fe988eb63b00ac5ed5a3ac994a14bb2,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,756.7066955566406,756.7066955566406,1,1,1,1,1,1
p36-tea-0010,brics-odroid-009_cam1,N16,16,009b8dcaa836c179f119b74998a63a4b2829e56a33765af7e7c7f35d8daeecd0,009b8dcaa836c179f119b74998a63a4b2829e56a33765af7e7c7f35d8daeecd0,78b554e75af4b3deef1afe2fa3bdb19ec250e3395776b4d2953db4b6ca52dc58,78b554e75af4b3deef1afe2fa3bdb19ec250e3395776b4d2953db4b6ca52dc58,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,755.1985778808594,755.1985778808594,1,1,1,1,1,1
p36-tea-0010,brics-odroid-009_cam1,N32,32,06283d9cfaf13af21dbda4412b2dce66fbf55e40c54e07a0adf0dc85d4eb3952,06283d9cfaf13af21dbda4412b2dce66fbf55e40c54e07a0adf0dc85d4eb3952,79278150fb7cc48fab8e78eb2b9521e24b7b8201245ab35bf8e0cd37f8a1c87d,79278150fb7cc48fab8e78eb2b9521e24b7b8201245ab35bf8e0cd37f8a1c87d,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,b434456ffdc19b23fb707d041dcaaea1f6a4ad578fad25b7b49f18b439733b30,758.182373046875,758.182373046875,1,1,1,1,1,1
