sequence,camera,condition,n_hand_observations,cx,cy,k1,r_fy
p36-tea-0010,brics-odroid-027_cam0,N2,37,639.978,359.733,-0.37324,1.00972
p36-tea-0010,brics-odroid-027_cam1,N2,5,639.84,360.785,-0.4011,1.013906
p36-tea-0010,brics-odroid-028_cam0,N2,16,641.324,360.725,-0.37556,1.012459
p36-tea-0010,brics-odroid-029_cam0,N2,4,640.568,360.975,-0.39497,1.008741
p36-tea-0010,brics-odroid-029_cam1,N2,24,640.758,360.585,-0.39606,1.008239
p36-tea-0010,brics-odroid-030_cam0,N2,83,640.756,359.638,-0.42761,1.002284
p36-tea-0010,brics-odroid-030_cam1,N2,20,640.115,360.305,-0.38266,1.011499
p41-boxing-0021,brics-odroid-001_cam1,N2,26,639.657,360.572,-0.3887,1.01046
p41-boxing-0021,brics-odroid-002_cam0,N2,10,640.644,360.713,-0.41336,1.010985
p41-boxing-0021,brics-odroid-006_cam0,N2,94,637.766,360.043,-0.38405,1.00477
p41-boxing-0021,brics-odroid-007_cam0,N2,124,639.046,360.631,-0.40571,1.009572
p41-boxing-0021,brics-odroid-007_cam1,N2,110,638.848,360.335,-0.40225,1.010039
p41-boxing-0021,brics-odroid-008_cam0,N2,25,639.62,360.522,-0.41066,1.009254
p41-boxing-0021,brics-odroid-009_cam1,N2,122,639.068,359.655,-0.43068,1.009739
p41-boxing-0021,brics-odroid-010_cam0,N2,110,636.991,360.243,-0.3813,1.010452
p41-boxing-0021,brics-odroid-010_cam1,N2,6,637.099,359.909,-0.38498,1.008549
p41-boxing-0021,brics-odroid-011_cam0,N2,109,639.583,359.387,-0.37314,1.008981
p41-boxing-0021,brics-odroid-012_cam0,N2,87,642.563,359.599,-0.39814,1.007365
p41-boxing-0021,brics-odroid-012_cam1,N2,58,640.87,359.503,-0.38321,1.007703
p41-boxing-0021,brics-odroid-014_cam1,N2,61,642.56,359.04,-0.42585,1.010365
p41-boxing-0021,brics-odroid-015_cam0,N2,108,639.757,359.291,-0.38134,1.005873
p41-boxing-0021,brics-odroid-015_cam1,N2,114,638.958,359.008,-0.38242,1.011358
p41-boxing-0021,brics-odroid-016_cam0,N2,95,641.946,360.134,-0.39464,1.00594
p41-boxing-0021,brics-odroid-017_cam0,N2,81,641.564,360.279,-0.41632,1.004074
p41-boxing-0021,brics-odroid-017_cam1,N2,114,639.988,360.301,-0.38186,1.008915
p41-boxing-0021,brics-odroid-019_cam1,N2,67,641.271,361.02,-0.39848,1.002697
p41-boxing-0021,brics-odroid-020_cam0,N2,108,643.494,359.428,-0.34205,1.015361
p41-boxing-0021,brics-odroid-020_cam1,N2,115,642.411,360.456,-0.39466,1.007707
p41-boxing-0021,brics-odroid-021_cam0,N2,103,640.944,360.619,-0.41366,1.006309
p41-boxing-0021,brics-odroid-021_cam1,N2,80,641.109,359.11,-0.39157,1.010687
p41-boxing-0021,brics-odroid-022_cam0,N2,2,640.006,359.867,-0.36883,1.012268
p41-boxing-0021,brics-odroid-023_cam0,N2,105,642.593,360.611,-0.34333,1.008593
p41-boxing-0021,brics-odroid-024_cam0,N2,98,639.915,359.468,-0.40192,1.009715
p41-boxing-0021,brics-odroid-024_cam1,N2,105,638.52,360.706,-0.41603,1.00853
p41-boxing-0021,brics-odroid-025_cam0,N2,106,641.587,359.392,-0.38802,1.009671
p41-boxing-0021,brics-odroid-025_cam1,N2,46,642.709,358.959,-0.38322,1.00877
p41-boxing-0021,brics-odroid-026_cam0,N2,42,640.663,360.729,-0.4042,1.008989
p41-boxing-0021,brics-odroid-026_cam1,N2,89,639.118,360.427,-0.39975,1.00427
p41-boxing-0021,brics-odroid-027_cam0,N2,32,640.558,360.037,-0.37324,1.008529
p41-boxing-0021,brics-odroid-028_cam0,N2,45,641.161,359.964,-0.37556,1.009331
p41-boxing-0021,brics-odroid-029_cam0,N2,35,640.94,360.997,-0.39497,1.007949
p41-boxing-0021,brics-odroid-029_cam1,N2,106,640.877,360.138,-0.39606,1.004044
p41-boxing-0021,brics-odroid-030_cam0,N2,105,640.096,361.009,-0.42761,0.993441
p41-boxing-0021,brics-odroid-030_cam1,N2,100,640.692,360.426,-0.38266,1.011275
p41-plant-0004,brics-odroid-001_cam1,N2,117,638.575,360.834,-0.3887,1.009192
p41-plant-0004,brics-odroid-002_cam0,N2,99,641.876,361.386,-0.41336,1.011669
p41-plant-0004,brics-odroid-006_cam0,N2,119,638.451,360.675,-0.38405,1.0
p41-plant-0004,brics-odroid-007_cam0,N2,122,640.641,361.181,-0.40571,1.005599
p41-plant-0004,brics-odroid-007_cam1,N2,123,640.214,361.458,-0.40225,1.007703
p41-plant-0004,brics-odroid-009_cam1,N2,102,638.745,360.641,-0.43068,1.009988
p41-plant-0004,brics-odroid-010_cam0,N2,108,638.376,361.374,-0.3813,1.015019
p41-plant-0004,brics-odroid-010_cam1,N2,6,640.502,360.761,-0.38498,1.005289
p41-plant-0004,brics-odroid-011_cam0,N2,120,641.153,360.505,-0.37314,1.009825
p41-plant-0004,brics-odroid-012_cam0,N2,122,641.55,360.753,-0.39814,1.006076
p41-plant-0004,brics-odroid-012_cam1,N2,124,641.057,359.804,-0.38321,1.012026
p41-plant-0004,brics-odroid-014_cam1,N2,50,642.14,360.397,-0.42585,1.011547
p41-plant-0004,brics-odroid-015_cam0,N2,14,641.01,360.577,-0.38134,1.012273
p41-plant-0004,brics-odroid-015_cam1,N2,102,639.844,359.799,-0.38242,1.010349
p41-plant-0004,brics-odroid-016_cam0,N2,115,639.351,360.357,-0.39464,1.004099
p41-plant-0004,brics-odroid-017_cam0,N2,107,640.33,361.449,-0.41632,1.004952
p41-plant-0004,brics-odroid-017_cam1,N2,103,639.52,360.488,-0.38186,1.003456
p41-plant-0004,brics-odroid-019_cam1,N2,53,638.803,360.385,-0.39848,1.009117
p41-plant-0004,brics-odroid-020_cam0,N2,112,639.741,360.153,-0.34205,1.008934
p41-plant-0004,brics-odroid-020_cam1,N2,52,641.302,360.383,-0.39466,1.009265
p41-plant-0004,brics-odroid-021_cam0,N2,113,640.285,360.816,-0.41366,1.010389
p41-plant-0004,brics-odroid-021_cam1,N2,109,639.586,360.195,-0.39157,1.008595
p41-plant-0004,brics-odroid-022_cam0,N2,25,640.695,360.928,-0.36883,1.010647
p41-plant-0004,brics-odroid-022_cam1,N2,103,639.164,359.164,-0.38285,1.010787
p41-plant-0004,brics-odroid-023_cam0,N2,123,641.913,360.87,-0.34333,1.002628
p41-plant-0004,brics-odroid-024_cam0,N2,120,640.1,359.624,-0.40192,1.008374
p41-plant-0004,brics-odroid-024_cam1,N2,119,639.508,360.618,-0.41603,1.010186
p41-plant-0004,brics-odroid-025_cam0,N2,113,640.075,359.422,-0.38802,1.00286
p41-plant-0004,brics-odroid-025_cam1,N2,124,641.363,359.704,-0.38322,1.002763
p44-dog-0004,brics-odroid-001_cam1,N2,20,640.903,360.565,-0.34783,1.005711
p44-dog-0004,brics-odroid-002_cam0,N2,42,640.211,360.912,-0.38301,1.003703
p44-dog-0004,brics-odroid-006_cam0,N2,112,639.377,359.645,-0.44366,1.000774
p44-dog-0004,brics-odroid-007_cam0,N2,96,641.221,360.402,-0.37756,1.011156
p44-dog-0004,brics-odroid-007_cam1,N2,106,638.253,359.211,-0.37202,1.011739
p44-dog-0004,brics-odroid-008_cam0,N2,27,639.22,359.958,-0.37374,1.009661
p44-dog-0004,brics-odroid-009_cam1,N2,98,638.875,359.788,-0.40016,1.006013
p44-dog-0004,brics-odroid-010_cam0,N2,120,641.067,359.133,-0.39804,1.010297
p44-dog-0004,brics-odroid-011_cam0,N2,104,638.239,360.493,-0.36673,1.011802
p44-dog-0004,brics-odroid-012_cam0,N2,89,641.342,360.152,-0.38888,1.008754
p44-dog-0004,brics-odroid-012_cam1,N2,118,640.761,358.678,-0.37791,1.013703
p44-dog-0004,brics-odroid-014_cam1,N2,80,640.942,359.198,-0.40651,1.009073
p44-dog-0004,brics-odroid-015_cam1,N2,110,640.644,360.145,-0.39753,1.012085
p44-dog-0004,brics-odroid-016_cam0,N2,98,640.947,360.014,-0.34098,1.004695
p44-dog-0004,brics-odroid-017_cam0,N2,97,640.732,359.99,-0.40561,0.999143
p44-dog-0004,brics-odroid-017_cam1,N2,74,639.571,359.486,-0.38541,1.007353
p44-dog-0004,brics-odroid-019_cam1,N2,17,641.575,360.65,-0.39368,1.001093
p44-dog-0004,brics-odroid-020_cam0,N2,86,640.181,359.123,-0.39226,1.007721
p44-dog-0004,brics-odroid-020_cam1,N2,57,641.604,359.669,-0.42044,1.003961
p44-dog-0004,brics-odroid-021_cam0,N2,97,640.833,359.67,-0.38811,1.009653
p44-dog-0004,brics-odroid-021_cam1,N2,92,640.32,360.182,-0.38113,1.010961
p44-dog-0004,brics-odroid-022_cam0,N2,45,639.736,360.316,-0.36872,1.015242
p44-dog-0004,brics-odroid-022_cam1,N2,112,640.164,359.5,-0.37039,1.015744
p44-dog-0004,brics-odroid-023_cam0,N2,14,641.872,359.587,-0.35414,1.003149
p44-dog-0004,brics-odroid-024_cam0,N2,112,639.814,360.075,-0.37327,1.010232
p44-dog-0004,brics-odroid-024_cam1,N2,113,639.067,360.554,-0.36658,1.0138
p44-dog-0004,brics-odroid-025_cam0,N2,86,640.826,358.778,-0.39218,1.009289
p44-dog-0004,brics-odroid-025_cam1,N2,117,641.09,359.639,-0.3806,1.005891
p44-dog-0004,brics-odroid-026_cam0,N2,83,639.284,360.873,-0.39527,1.001904
p44-dog-0004,brics-odroid-026_cam1,N2,33,639.364,360.817,-0.39437,1.00928
p44-dog-0004,brics-odroid-027_cam0,N2,12,639.476,359.956,-0.38288,1.005923
p44-dog-0004,brics-odroid-027_cam1,N2,2,639.405,360.313,-0.39551,1.006741
p44-dog-0004,brics-odroid-029_cam0,N2,29,639.362,360.508,-0.39259,1.007464
p44-dog-0004,brics-odroid-029_cam1,N2,32,640.163,359.926,-0.39691,1.005219
p44-dog-0004,brics-odroid-030_cam0,N2,19,640.717,360.29,-0.44166,0.998144
p44-dog-0004,brics-odroid-030_cam1,N2,2,639.559,359.793,-0.36519,0.997448
p52-instrument-0034,brics-odroid-002_cam0,N2,128,639.233,361.381,-0.41718,1.00538
p52-instrument-0034,brics-odroid-007_cam0,N2,125,640.3,360.361,-0.39109,1.009877
p52-instrument-0034,brics-odroid-007_cam1,N2,128,638.185,360.011,-0.4133,1.010457
p52-instrument-0034,brics-odroid-012_cam1,N2,128,640.744,358.974,-0.37115,1.008419
p52-instrument-0034,brics-odroid-015_cam1,N2,128,640.408,358.825,-0.38089,1.010973
p52-instrument-0034,brics-odroid-016_cam0,N2,126,641.517,360.294,-0.40087,1.004346
p52-instrument-0034,brics-odroid-021_cam0,N2,128,640.753,359.685,-0.40974,1.006306
p52-instrument-0034,brics-odroid-023_cam0,N2,128,642.249,360.337,-0.36075,1.004807
p52-instrument-0034,brics-odroid-024_cam0,N2,128,639.341,359.688,-0.39928,1.006833
p52-instrument-0034,brics-odroid-025_cam1,N2,128,643.363,359.693,-0.44675,0.997064
p52-instrument-0034,brics-odroid-027_cam0,N2,47,640.166,359.992,-0.37702,1.008876
p52-instrument-0034,brics-odroid-030_cam0,N2,119,640.277,360.312,-0.41746,0.992119
p52-instrument-0034,brics-odroid-030_cam1,N2,26,639.737,360.565,-0.39334,1.01218
