sequence,camera,condition,n_hand_observations,cx,cy,k1,r_fy
p44-dog-0004,brics-odroid-001_cam1,N4,20,610.042,378.58,-0.34783,1.000347
p44-dog-0004,brics-odroid-002_cam0,N4,42,679.026,350.505,-0.38301,0.995941
p44-dog-0004,brics-odroid-006_cam0,N4,112,587.856,380.488,-0.44366,0.997047
p44-dog-0004,brics-odroid-007_cam0,N4,96,675.94,387.747,-0.37756,0.9996
p44-dog-0004,brics-odroid-007_cam1,N4,106,668.423,377.465,-0.37202,1.007204
p44-dog-0004,brics-odroid-008_cam0,N4,27,692.729,373.29,-0.37374,1.004929
p44-dog-0004,brics-odroid-009_cam1,N4,98,651.149,308.372,-0.40016,0.994947
p44-dog-0004,brics-odroid-010_cam0,N4,120,641.865,326.276,-0.39804,0.995177
p44-dog-0004,brics-odroid-011_cam0,N4,104,624.106,350.564,-0.36673,1.000506
p44-dog-0004,brics-odroid-012_cam0,N4,89,650.067,343.19,-0.38888,1.001995
p44-dog-0004,brics-odroid-012_cam1,N4,118,616.606,365.731,-0.37791,1.003944
p44-dog-0004,brics-odroid-014_cam1,N4,80,653.677,337.058,-0.40651,0.999872
p44-dog-0004,brics-odroid-015_cam1,N4,110,674.724,354.0,-0.39753,0.999716
p44-dog-0004,brics-odroid-016_cam0,N4,98,670.719,337.477,-0.34098,1.004758
p44-dog-0004,brics-odroid-017_cam0,N4,97,620.877,409.427,-0.40561,1.000285
p44-dog-0004,brics-odroid-017_cam1,N4,74,618.251,367.63,-0.38541,0.998098
p44-dog-0004,brics-odroid-019_cam1,N4,17,637.664,345.32,-0.39368,0.997616
p44-dog-0004,brics-odroid-020_cam0,N4,86,681.054,287.297,-0.39226,0.997716
p44-dog-0004,brics-odroid-020_cam1,N4,57,650.431,333.804,-0.42044,0.999322
p44-dog-0004,brics-odroid-021_cam0,N4,97,628.64,334.263,-0.38811,1.000791
p44-dog-0004,brics-odroid-021_cam1,N4,92,640.891,376.282,-0.38113,1.002965
p44-dog-0004,brics-odroid-022_cam0,N4,45,656.192,311.499,-0.36872,1.003674
p44-dog-0004,brics-odroid-022_cam1,N4,112,656.4,353.423,-0.37039,1.003887
p44-dog-0004,brics-odroid-023_cam0,N4,14,655.832,295.059,-0.35414,0.977266
p44-dog-0004,brics-odroid-024_cam0,N4,112,628.425,315.037,-0.37327,0.999398
p44-dog-0004,brics-odroid-024_cam1,N4,113,642.758,368.723,-0.36658,1.00401
p44-dog-0004,brics-odroid-025_cam0,N4,86,600.856,321.665,-0.39218,1.005676
p44-dog-0004,brics-odroid-025_cam1,N4,117,631.516,359.032,-0.3806,1.000462
p44-dog-0004,brics-odroid-026_cam0,N4,83,631.792,356.108,-0.39527,1.004442
p44-dog-0004,brics-odroid-026_cam1,N4,33,660.674,326.148,-0.39437,1.004427
p44-dog-0004,brics-odroid-027_cam0,N4,12,666.951,398.918,-0.38288,0.997404
p44-dog-0004,brics-odroid-027_cam1,N4,2,654.232,355.778,-0.39551,1.005186
p44-dog-0004,brics-odroid-029_cam0,N4,29,649.766,352.96,-0.39259,1.00257
p44-dog-0004,brics-odroid-029_cam1,N4,32,624.152,334.71,-0.39691,0.999885
p44-dog-0004,brics-odroid-030_cam0,N4,19,663.696,298.352,-0.44166,1.011786
p44-dog-0004,brics-odroid-030_cam1,N4,2,646.148,320.082,-0.36519,1.014581
p52-instrument-0034,brics-odroid-002_cam0,N4,128,655.872,293.961,-0.41718,0.992037
p52-instrument-0034,brics-odroid-007_cam0,N4,125,645.092,348.028,-0.39109,0.992284
p52-instrument-0034,brics-odroid-007_cam1,N4,128,643.478,336.38,-0.4133,0.997125
p52-instrument-0034,brics-odroid-012_cam1,N4,128,662.598,377.635,-0.37115,0.9964
p52-instrument-0034,brics-odroid-015_cam1,N4,128,643.381,375.457,-0.38089,0.991827
p52-instrument-0034,brics-odroid-016_cam0,N4,126,657.085,295.885,-0.40087,0.996983
p52-instrument-0034,brics-odroid-021_cam0,N4,128,624.337,314.389,-0.40974,0.995499
p52-instrument-0034,brics-odroid-023_cam0,N4,128,637.689,331.313,-0.36075,0.990589
p52-instrument-0034,brics-odroid-024_cam0,N4,128,623.888,297.47,-0.39928,0.994221
p52-instrument-0034,brics-odroid-025_cam1,N4,128,655.242,358.393,-0.44675,0.999662
p52-instrument-0034,brics-odroid-027_cam0,N4,47,620.033,375.397,-0.37702,0.999494
p52-instrument-0034,brics-odroid-030_cam0,N4,119,624.415,311.219,-0.41746,1.004852
p52-instrument-0034,brics-odroid-030_cam1,N4,26,653.387,377.023,-0.39334,1.003788
