sequence,camera,condition,n_hand_observations,cx,cy,k1,r_fy
p36-tea-0010,brics-odroid-021_cam1,N3,86,642.582,362.27,-0.39157,1.012833
p36-tea-0010,brics-odroid-022_cam0,N3,44,621.285,334.8,-0.36883,1.009672
p36-tea-0010,brics-odroid-022_cam1,N3,76,628.7,381.148,-0.38285,1.006018
p36-tea-0010,brics-odroid-023_cam0,N3,100,639.689,334.074,-0.34333,1.00424
p36-tea-0010,brics-odroid-024_cam0,N3,91,640.02,325.425,-0.40192,1.00956
p36-tea-0010,brics-odroid-024_cam1,N3,108,613.412,391.805,-0.41603,1.010118
p36-tea-0010,brics-odroid-025_cam0,N3,62,666.679,326.532,-0.38802,1.006916
p36-tea-0010,brics-odroid-025_cam1,N3,119,611.242,336.83,-0.38322,1.003526
p36-tea-0010,brics-odroid-026_cam0,N3,29,667.885,340.859,-0.4042,1.006514
p36-tea-0010,brics-odroid-026_cam1,N3,47,623.895,326.857,-0.39975,1.00839
p36-tea-0010,brics-odroid-027_cam0,N3,37,635.196,370.85,-0.37324,1.00972
p36-tea-0010,brics-odroid-027_cam1,N3,5,637.593,348.482,-0.4011,1.013906
p36-tea-0010,brics-odroid-028_cam0,N3,16,634.152,352.473,-0.37556,1.012459
p36-tea-0010,brics-odroid-029_cam0,N3,4,653.291,335.683,-0.39497,1.008741
p36-tea-0010,brics-odroid-029_cam1,N3,24,664.378,322.856,-0.39606,1.008239
p36-tea-0010,brics-odroid-030_cam0,N3,83,637.935,303.971,-0.42761,1.002284
p36-tea-0010,brics-odroid-030_cam1,N3,20,643.799,359.605,-0.38266,1.011499
p41-boxing-0021,brics-odroid-001_cam1,N3,26,625.367,288.306,-0.3887,1.01046
p41-boxing-0021,brics-odroid-002_cam0,N3,10,670.133,301.495,-0.41336,1.010985
p41-boxing-0021,brics-odroid-006_cam0,N3,94,687.268,373.177,-0.38405,1.00477
p41-boxing-0021,brics-odroid-007_cam0,N3,124,666.975,361.817,-0.40571,1.009572
p41-boxing-0021,brics-odroid-007_cam1,N3,110,645.01,354.144,-0.40225,1.010039
p41-boxing-0021,brics-odroid-008_cam0,N3,25,653.525,353.674,-0.41066,1.009254
p41-boxing-0021,brics-odroid-009_cam1,N3,122,625.789,312.819,-0.43068,1.009739
p41-boxing-0021,brics-odroid-010_cam0,N3,110,653.848,332.364,-0.3813,1.010452
p41-boxing-0021,brics-odroid-010_cam1,N3,6,652.762,322.816,-0.38498,1.008549
p41-boxing-0021,brics-odroid-011_cam0,N3,109,617.816,335.306,-0.37314,1.008981
p41-boxing-0021,brics-odroid-012_cam0,N3,87,624.159,338.707,-0.39814,1.007365
p41-boxing-0021,brics-odroid-012_cam1,N3,58,644.913,370.083,-0.38321,1.007703
p41-boxing-0021,brics-odroid-014_cam1,N3,61,631.922,325.047,-0.42585,1.010365
p41-boxing-0021,brics-odroid-015_cam0,N3,108,612.762,356.393,-0.38134,1.005873
p41-boxing-0021,brics-odroid-015_cam1,N3,114,653.32,386.069,-0.38242,1.011358
p41-boxing-0021,brics-odroid-016_cam0,N3,95,656.524,284.009,-0.39464,1.00594
p41-boxing-0021,brics-odroid-017_cam0,N3,81,608.491,360.493,-0.41632,1.004074
p41-boxing-0021,brics-odroid-017_cam1,N3,114,620.154,309.6,-0.38186,1.008915
p41-boxing-0021,brics-odroid-019_cam1,N3,67,638.913,331.961,-0.39848,1.002697
p41-boxing-0021,brics-odroid-020_cam0,N3,108,685.925,304.393,-0.34205,1.015361
p41-boxing-0021,brics-odroid-020_cam1,N3,115,625.349,354.815,-0.39466,1.007707
p41-boxing-0021,brics-odroid-021_cam0,N3,103,611.17,329.683,-0.41366,1.006309
p41-boxing-0021,brics-odroid-021_cam1,N3,80,642.582,362.27,-0.39157,1.010687
p41-boxing-0021,brics-odroid-022_cam0,N3,2,621.285,334.8,-0.36883,1.012268
p41-boxing-0021,brics-odroid-023_cam0,N3,105,639.689,334.074,-0.34333,1.008593
p41-boxing-0021,brics-odroid-024_cam0,N3,98,640.02,325.425,-0.40192,1.009715
p41-boxing-0021,brics-odroid-024_cam1,N3,105,613.412,391.805,-0.41603,1.00853
p41-boxing-0021,brics-odroid-025_cam0,N3,106,666.679,326.532,-0.38802,1.009671
p41-boxing-0021,brics-odroid-025_cam1,N3,46,611.242,336.83,-0.38322,1.00877
p41-boxing-0021,brics-odroid-026_cam0,N3,42,667.885,340.859,-0.4042,1.008989
p41-boxing-0021,brics-odroid-026_cam1,N3,89,623.895,326.857,-0.39975,1.00427
p41-boxing-0021,brics-odroid-027_cam0,N3,32,635.196,370.85,-0.37324,1.008529
p41-boxing-0021,brics-odroid-028_cam0,N3,45,634.152,352.473,-0.37556,1.009331
p41-boxing-0021,brics-odroid-029_cam0,N3,35,653.291,335.683,-0.39497,1.007949
p41-boxing-0021,brics-odroid-029_cam1,N3,106,664.378,322.856,-0.39606,1.004044
p41-boxing-0021,brics-odroid-030_cam0,N3,105,637.935,303.971,-0.42761,0.993441
p41-boxing-0021,brics-odroid-030_cam1,N3,100,643.799,359.605,-0.38266,1.011275
p41-plant-0004,brics-odroid-001_cam1,N3,117,625.367,288.306,-0.3887,1.009192
p41-plant-0004,brics-odroid-002_cam0,N3,99,670.133,301.495,-0.41336,1.011669
p41-plant-0004,brics-odroid-006_cam0,N3,119,687.268,373.177,-0.38405,1.0
p41-plant-0004,brics-odroid-007_cam0,N3,122,666.975,361.817,-0.40571,1.005599
p41-plant-0004,brics-odroid-007_cam1,N3,123,645.01,354.144,-0.40225,1.007703
p41-plant-0004,brics-odroid-009_cam1,N3,102,625.789,312.819,-0.43068,1.009988
p41-plant-0004,brics-odroid-010_cam0,N3,108,653.848,332.364,-0.3813,1.015019
p41-plant-0004,brics-odroid-010_cam1,N3,6,652.762,322.816,-0.38498,1.005289
p41-plant-0004,brics-odroid-011_cam0,N3,120,617.816,335.306,-0.37314,1.009825
p41-plant-0004,brics-odroid-012_cam0,N3,122,624.159,338.707,-0.39814,1.006076
p41-plant-0004,brics-odroid-012_cam1,N3,124,644.913,370.083,-0.38321,1.012026
p41-plant-0004,brics-odroid-014_cam1,N3,50,631.922,325.047,-0.42585,1.011547
p41-plant-0004,brics-odroid-015_cam0,N3,14,612.762,356.393,-0.38134,1.012273
p41-plant-0004,brics-odroid-015_cam1,N3,102,653.32,386.069,-0.38242,1.010349
p41-plant-0004,brics-odroid-016_cam0,N3,115,656.524,284.009,-0.39464,1.004099
p41-plant-0004,brics-odroid-017_cam0,N3,107,608.491,360.493,-0.41632,1.004952
p41-plant-0004,brics-odroid-017_cam1,N3,103,620.154,309.6,-0.38186,1.003456
p41-plant-0004,brics-odroid-019_cam1,N3,53,638.913,331.961,-0.39848,1.009117
p41-plant-0004,brics-odroid-020_cam0,N3,112,685.925,304.393,-0.34205,1.008934
p41-plant-0004,brics-odroid-020_cam1,N3,52,625.349,354.815,-0.39466,1.009265
p41-plant-0004,brics-odroid-021_cam0,N3,113,611.17,329.683,-0.41366,1.010389
p41-plant-0004,brics-odroid-021_cam1,N3,109,642.582,362.27,-0.39157,1.008595
p41-plant-0004,brics-odroid-022_cam0,N3,25,621.285,334.8,-0.36883,1.010647
p41-plant-0004,brics-odroid-022_cam1,N3,103,628.7,381.148,-0.38285,1.010787
p41-plant-0004,brics-odroid-023_cam0,N3,123,639.689,334.074,-0.34333,1.002628
p41-plant-0004,brics-odroid-024_cam0,N3,120,640.02,325.425,-0.40192,1.008374
p41-plant-0004,brics-odroid-024_cam1,N3,119,613.412,391.805,-0.41603,1.010186
p41-plant-0004,brics-odroid-025_cam0,N3,113,666.679,326.532,-0.38802,1.00286
p41-plant-0004,brics-odroid-025_cam1,N3,124,611.242,336.83,-0.38322,1.002763
p44-dog-0004,brics-odroid-001_cam1,N3,20,610.042,378.58,-0.34783,1.005711
p44-dog-0004,brics-odroid-002_cam0,N3,42,679.026,350.505,-0.38301,1.003703
p44-dog-0004,brics-odroid-006_cam0,N3,112,587.856,380.488,-0.44366,1.000774
p44-dog-0004,brics-odroid-007_cam0,N3,96,675.94,387.747,-0.37756,1.011156
p44-dog-0004,brics-odroid-007_cam1,N3,106,668.423,377.465,-0.37202,1.011739
p44-dog-0004,brics-odroid-008_cam0,N3,27,692.729,373.29,-0.37374,1.009661
p44-dog-0004,brics-odroid-009_cam1,N3,98,651.149,308.372,-0.40016,1.006013
p44-dog-0004,brics-odroid-010_cam0,N3,120,641.865,326.276,-0.39804,1.010297
p44-dog-0004,brics-odroid-011_cam0,N3,104,624.106,350.564,-0.36673,1.011802
p44-dog-0004,brics-odroid-012_cam0,N3,89,650.067,343.19,-0.38888,1.008754
p44-dog-0004,brics-odroid-012_cam1,N3,118,616.606,365.731,-0.37791,1.013703
p44-dog-0004,brics-odroid-014_cam1,N3,80,653.677,337.058,-0.40651,1.009073
p44-dog-0004,brics-odroid-015_cam1,N3,110,674.724,354.0,-0.39753,1.012085
p44-dog-0004,brics-odroid-016_cam0,N3,98,670.719,337.477,-0.34098,1.004695
p44-dog-0004,brics-odroid-017_cam0,N3,97,620.877,409.427,-0.40561,0.999143
p44-dog-0004,brics-odroid-017_cam1,N3,74,618.251,367.63,-0.38541,1.007353
p44-dog-0004,brics-odroid-019_cam1,N3,17,637.664,345.32,-0.39368,1.001093
p44-dog-0004,brics-odroid-020_cam0,N3,86,681.054,287.297,-0.39226,1.007721
p44-dog-0004,brics-odroid-020_cam1,N3,57,650.431,333.804,-0.42044,1.003961
p44-dog-0004,brics-odroid-021_cam0,N3,97,628.64,334.263,-0.38811,1.009653
p44-dog-0004,brics-odroid-021_cam1,N3,92,640.891,376.282,-0.38113,1.010961
p44-dog-0004,brics-odroid-022_cam0,N3,45,656.192,311.499,-0.36872,1.015242
p44-dog-0004,brics-odroid-022_cam1,N3,112,656.4,353.423,-0.37039,1.015744
p44-dog-0004,brics-odroid-023_cam0,N3,14,655.832,295.059,-0.35414,1.003149
p44-dog-0004,brics-odroid-024_cam0,N3,112,628.425,315.037,-0.37327,1.010232
p44-dog-0004,brics-odroid-024_cam1,N3,113,642.758,368.723,-0.36658,1.0138
p44-dog-0004,brics-odroid-025_cam0,N3,86,600.856,321.665,-0.39218,1.009289
p44-dog-0004,brics-odroid-025_cam1,N3,117,631.516,359.032,-0.3806,1.005891
p44-dog-0004,brics-odroid-026_cam0,N3,83,631.792,356.108,-0.39527,1.001904
p44-dog-0004,brics-odroid-026_cam1,N3,33,660.674,326.148,-0.39437,1.00928
p44-dog-0004,brics-odroid-027_cam0,N3,12,666.951,398.918,-0.38288,1.005923
p44-dog-0004,brics-odroid-027_cam1,N3,2,654.232,355.778,-0.39551,1.006741
p44-dog-0004,brics-odroid-029_cam0,N3,29,649.766,352.96,-0.39259,1.007464
p44-dog-0004,brics-odroid-029_cam1,N3,32,624.152,334.71,-0.39691,1.005219
p44-dog-0004,brics-odroid-030_cam0,N3,19,663.696,298.352,-0.44166,0.998144
p44-dog-0004,brics-odroid-030_cam1,N3,2,646.148,320.082,-0.36519,0.997448
p52-instrument-0034,brics-odroid-002_cam0,N3,128,655.872,293.961,-0.41718,1.00538
p52-instrument-0034,brics-odroid-007_cam0,N3,125,645.092,348.028,-0.39109,1.009877
p52-instrument-0034,brics-odroid-007_cam1,N3,128,643.478,336.38,-0.4133,1.010457
p52-instrument-0034,brics-odroid-012_cam1,N3,128,662.598,377.635,-0.37115,1.008419
p52-instrument-0034,brics-odroid-015_cam1,N3,128,643.381,375.457,-0.38089,1.010973
p52-instrument-0034,brics-odroid-016_cam0,N3,126,657.085,295.885,-0.40087,1.004346
p52-instrument-0034,brics-odroid-021_cam0,N3,128,624.337,314.389,-0.40974,1.006306
p52-instrument-0034,brics-odroid-023_cam0,N3,128,637.689,331.313,-0.36075,1.004807
p52-instrument-0034,brics-odroid-024_cam0,N3,128,623.888,297.47,-0.39928,1.006833
p52-instrument-0034,brics-odroid-025_cam1,N3,128,655.242,358.393,-0.44675,0.997064
p52-instrument-0034,brics-odroid-027_cam0,N3,47,620.033,375.397,-0.37702,1.008876
p52-instrument-0034,brics-odroid-030_cam0,N3,119,624.415,311.219,-0.41746,0.992119
p52-instrument-0034,brics-odroid-030_cam1,N3,26,653.387,377.023,-0.39334,1.01218
