sequence,camera,n_candidate_frames,first_frame,last_frame
p41-boxing-0021,brics-odroid-019_cam1,206,19,360
p41-boxing-0021,brics-odroid-020_cam0,348,0,360
p41-boxing-0021,brics-odroid-020_cam1,343,0,360
p41-boxing-0021,brics-odroid-021_cam0,273,0,360
p41-boxing-0021,brics-odroid-021_cam1,251,0,360
p41-boxing-0021,brics-odroid-022_cam0,2,57,309
p41-boxing-0021,brics-odroid-022_cam1,4,281,284
p41-boxing-0021,brics-odroid-023_cam0,303,0,360
p41-boxing-0021,brics-odroid-024_cam0,299,0,360
p41-boxing-0021,brics-odroid-024_cam1,303,0,360
p41-boxing-0021,brics-odroid-025_cam0,315,0,360
p41-boxing-0021,brics-odroid-025_cam1,135,54,319
p41-boxing-0021,brics-odroid-026_cam0,119,0,360
p41-boxing-0021,brics-odroid-026_cam1,244,1,360
p41-boxing-0021,brics-odroid-027_cam0,48,0,329
p41-boxing-0021,brics-odroid-028_cam0,158,1,360
p41-boxing-0021,brics-odroid-029_cam0,101,19,357
p41-boxing-0021,brics-odroid-029_cam1,309,0,360
p41-boxing-0021,brics-odroid-030_cam0,354,0,360
p41-boxing-0021,brics-odroid-030_cam1,308,0,360
p41-plant-0004,brics-odroid-001_cam1,152,0,168
p41-plant-0004,brics-odroid-002_cam0,126,1,168
p41-plant-0004,brics-odroid-006_cam0,162,0,168
p41-plant-0004,brics-odroid-007_cam0,164,0,168
p41-plant-0004,brics-odroid-007_cam1,162,0,168
p41-plant-0004,brics-odroid-009_cam1,158,0,164
p41-plant-0004,brics-odroid-010_cam0,147,0,168
p41-plant-0004,brics-odroid-010_cam1,8,27,115
p41-plant-0004,brics-odroid-011_cam0,161,0,168
p41-plant-0004,brics-odroid-012_cam0,160,0,168
p41-plant-0004,brics-odroid-012_cam1,164,0,168
p41-plant-0004,brics-odroid-014_cam1,70,0,100
p41-plant-0004,brics-odroid-015_cam0,14,56,72
p41-plant-0004,brics-odroid-015_cam1,136,0,168
p41-plant-0004,brics-odroid-016_cam0,151,0,168
p41-plant-0004,brics-odroid-017_cam0,145,0,168
p41-plant-0004,brics-odroid-017_cam1,142,0,168
p41-plant-0004,brics-odroid-019_cam1,83,1,148
p41-plant-0004,brics-odroid-020_cam0,153,0,168
p41-plant-0004,brics-odroid-020_cam1,67,0,167
p41-plant-0004,brics-odroid-021_cam0,156,0,168
p41-plant-0004,brics-odroid-021_cam1,151,0,168
p41-plant-0004,brics-odroid-022_cam0,33,12,108
p41-plant-0004,brics-odroid-022_cam1,142,0,168
p41-plant-0004,brics-odroid-023_cam0,162,0,168
p41-plant-0004,brics-odroid-024_cam0,161,0,168
p41-plant-0004,brics-odroid-024_cam1,160,0,168
p41-plant-0004,brics-odroid-025_cam0,155,0,168
p41-plant-0004,brics-odroid-025_cam1,164,0,168
p44-dog-0004,brics-odroid-001_cam1,86,9,317
p44-dog-0004,brics-odroid-002_cam0,132,0,310
p44-dog-0004,brics-odroid-006_cam0,331,0,330
p44-dog-0004,brics-odroid-007_cam0,331,0,330
p44-dog-0004,brics-odroid-007_cam1,331,0,330
p44-dog-0004,brics-odroid-008_cam0,77,227,329
p44-dog-0004,brics-odroid-009_cam1,331,0,330
p44-dog-0004,brics-odroid-010_cam0,331,0,330
p44-dog-0004,brics-odroid-011_cam0,331,0,330
p44-dog-0004,brics-odroid-012_cam0,274,0,330
p44-dog-0004,brics-odroid-012_cam1,331,0,330
p44-dog-0004,brics-odroid-014_cam1,203,0,330
p44-dog-0004,brics-odroid-015_cam0,3,221,228
p44-dog-0004,brics-odroid-015_cam1,331,0,330
p44-dog-0004,brics-odroid-016_cam0,284,0,330
p44-dog-0004,brics-odroid-017_cam0,259,0,330
p44-dog-0004,brics-odroid-017_cam1,208,5,330
p44-dog-0004,brics-odroid-019_cam1,45,0,330
p44-dog-0004,brics-odroid-020_cam0,224,0,330
p44-dog-0004,brics-odroid-020_cam1,203,0,330
p44-dog-0004,brics-odroid-021_cam0,280,0,330
p44-dog-0004,brics-odroid-021_cam1,283,0,330
p44-dog-0004,brics-odroid-022_cam0,131,0,313
p44-dog-0004,brics-odroid-022_cam1,313,0,330
p44-dog-0004,brics-odroid-023_cam0,30,236,330
p44-dog-0004,brics-odroid-024_cam0,331,0,330
p44-dog-0004,brics-odroid-024_cam1,331,0,330
p44-dog-0004,brics-odroid-025_cam0,241,0,330
p44-dog-0004,brics-odroid-025_cam1,331,0,330
p44-dog-0004,brics-odroid-026_cam0,254,0,323
p44-dog-0004,brics-odroid-026_cam1,109,15,330
p44-dog-0004,brics-odroid-027_cam0,43,126,211
p44-dog-0004,brics-odroid-027_cam1,3,129,131
p44-dog-0004,brics-odroid-029_cam0,92,17,320
p44-dog-0004,brics-odroid-029_cam1,98,0,330
p44-dog-0004,brics-odroid-030_cam0,57,20,330
p44-dog-0004,brics-odroid-030_cam1,4,59,318
p52-instrument-0034,brics-odroid-002_cam0,133,0,132
p52-instrument-0034,brics-odroid-007_cam0,133,0,132
p52-instrument-0034,brics-odroid-007_cam1,133,0,132
p52-instrument-0034,brics-odroid-012_cam1,133,0,132
p52-instrument-0034,brics-odroid-015_cam1,133,0,132
p52-instrument-0034,brics-odroid-016_cam0,133,0,132
p52-instrument-0034,brics-odroid-021_cam0,133,0,132
p52-instrument-0034,brics-odroid-023_cam0,133,0,132
p52-instrument-0034,brics-odroid-024_cam0,133,0,132
p52-instrument-0034,brics-odroid-025_cam1,133,0,132
p52-instrument-0034,brics-odroid-027_cam0,56,1,129
p52-instrument-0034,brics-odroid-030_cam0,133,0,132
p52-instrument-0034,brics-odroid-030_cam1,22,0,98
