sequence,camera,n_all_common,has_diversity_subsets,n_N8,n_N16,n_N32,n_N64
p44-dog-0004,brics-odroid-021_cam0,54,1,8,16,32,
p44-dog-0004,brics-odroid-021_cam1,56,1,8,16,32,
p44-dog-0004,brics-odroid-022_cam0,26,0,8,16,,
p44-dog-0004,brics-odroid-022_cam1,61,1,8,16,32,
p44-dog-0004,brics-odroid-023_cam0,7,0,,,,
p44-dog-0004,brics-odroid-024_cam0,64,1,8,16,32,64
p44-dog-0004,brics-odroid-024_cam1,64,1,8,16,32,64
p44-dog-0004,brics-odroid-025_cam0,46,1,8,16,32,
p44-dog-0004,brics-odroid-025_cam1,64,1,8,16,32,64
p44-dog-0004,brics-odroid-026_cam0,49,1,8,16,32,
p44-dog-0004,brics-odroid-026_cam1,19,0,8,16,,
p44-dog-0004,brics-odroid-027_cam0,6,0,,,,
p44-dog-0004,brics-odroid-027_cam1,1,0,,,,
p44-dog-0004,brics-odroid-029_cam0,18,0,8,16,,
p44-dog-0004,brics-odroid-029_cam1,19,0,8,16,,
p44-dog-0004,brics-odroid-030_cam0,12,0,8,,,
p44-dog-0004,brics-odroid-030_cam1,1,0,,,,
p52-instrument-0034,brics-odroid-002_cam0,64,1,8,16,32,64
p52-instrument-0034,brics-odroid-007_cam0,64,1,8,16,32,64
p52-instrument-0034,brics-odroid-007_cam1,64,1,8,16,32,64
p52-instrument-0034,brics-odroid-012_cam1,64,1,8,16,32,64
p52-instrument-0034,brics-odroid-015_cam1,64,1,8,16,32,64
p52-instrument-0034,brics-odroid-016_cam0,64,1,8,16,32,64
p52-instrument-0034,brics-odroid-021_cam0,64,1,8,16,32,64
p52-instrument-0034,brics-odroid-023_cam0,64,1,8,16,32,64
p52-instrument-0034,brics-odroid-024_cam0,64,1,8,16,32,64
p52-instrument-0034,brics-odroid-025_cam1,64,1,8,16,32,64
p52-instrument-0034,brics-odroid-027_cam0,27,0,8,16,,
p52-instrument-0034,brics-odroid-030_cam0,64,1,8,16,32,64
p52-instrument-0034,brics-odroid-030_cam1,13,0,8,,,
