sequence,camera,rgb_frame_index,rgb_timestamp_us,sidecar_frame_index,kp2d_row,kp3d_row,union_position,left_chosen,right_chosen,mapping_source,mapping_confidence,notes
p36-tea-0010,brics-odroid-002_cam0,375,1727030443182287,375,375,,-1,0,0,OUT_OF_3D_RANGE,n/a,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,0,1726962101753779,0,0,0,0,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,14,1726962102221790,14,14,14,14,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,28,1726962102686608,28,28,28,28,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,42,1726962103153794,42,42,42,42,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,56,1726962103621797,56,56,56,56,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,70,1726962104085824,70,70,70,70,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,84,1726962104553721,84,84,84,84,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,98,1726962105021717,98,98,98,98,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,112,1726962105485690,112,112,112,112,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,126,1726962105955384,126,126,126,126,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,140,1726962106421878,140,140,140,140,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,154,1726962106885841,154,154,154,154,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,168,1726962107353781,168,168,168,168,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,182,1726962107821843,182,182,182,182,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,196,1726962108285712,196,196,196,196,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,210,1726962108756269,210,210,210,210,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,224,1726962109221792,224,224,224,224,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,238,1726962109685886,238,238,238,238,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,252,1726962110153823,252,252,252,252,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,266,1726962110617843,266,266,266,266,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,280,1726962111085888,280,280,280,280,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,294,1726962111553900,294,294,294,294,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,308,1726962112017948,308,308,308,308,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,322,1726962112485722,322,322,322,322,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,336,1726962112953862,336,336,336,336,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,350,1726962113418925,350,350,350,350,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam0,364,1726962113885923,364,364,,-1,0,0,OUT_OF_3D_RANGE,n/a,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,0,1726962101745702,0,0,0,0,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,14,1726962102209623,14,14,14,14,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,28,1726962102677580,28,28,28,28,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,42,1726962103145594,42,42,42,42,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,56,1726962103609625,56,56,56,56,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,70,1726962104077817,70,70,70,70,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,84,1726962104546214,84,84,84,84,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,98,1726962105009703,98,98,98,98,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,112,1726962105477617,112,112,112,112,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,126,1726962105941930,126,126,126,126,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,140,1726962106411952,140,140,140,140,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,154,1726962106878293,154,154,154,154,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,168,1726962107341593,168,168,168,168,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,182,1726962107809764,182,182,182,182,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,196,1726962108278446,196,196,196,196,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,210,1726962108741669,210,210,210,210,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,224,1726962109210553,224,224,224,224,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,238,1726962109679456,238,238,238,238,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,252,1726962110141678,252,252,252,252,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,266,1726962110609677,266,266,266,266,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,280,1726962111077742,280,280,280,280,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,294,1726962111541710,294,294,294,294,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,308,1726962112009844,308,308,308,308,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,322,1726962112477799,322,322,322,322,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,336,1726962112941786,336,336,336,336,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,350,1726962113416380,350,350,350,350,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-001_cam1,364,1726962113877730,364,364,,-1,0,0,OUT_OF_3D_RANGE,n/a,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,0,1726962101753219,0,0,0,0,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,14,1726962102217142,14,14,14,14,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,28,1726962102686604,28,28,28,28,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,42,1726962103153210,42,42,42,42,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,56,1726962103620714,56,56,56,56,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,70,1726962104085240,70,70,70,70,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,84,1726962104553256,84,84,84,84,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,98,1726962105017140,98,98,98,98,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,112,1726962105485212,112,112,112,112,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,126,1726962105953230,126,126,126,126,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,140,1726962106417283,140,140,140,140,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,154,1726962106885199,154,154,154,154,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,168,1726962107349249,168,168,168,168,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,182,1726962107817285,182,182,182,182,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,196,1726962108285220,196,196,196,196,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,210,1726962108749246,210,210,210,210,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,224,1726962109217320,224,224,224,224,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,238,1726962109685266,238,238,238,238,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,252,1726962110149277,252,252,252,252,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,266,1726962110617437,266,266,266,266,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,280,1726962111085291,280,280,280,280,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,294,1726962111550854,294,294,294,294,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,308,1726962112022366,308,308,308,308,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,322,1726962112486861,322,322,322,322,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,336,1726962112950669,336,336,336,336,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,350,1726962113417393,350,350,350,350,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p41-boxing-0021,brics-odroid-002_cam0,364,1726962113885337,364,364,,-1,0,0,OUT_OF_3D_RANGE,n/a,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
