key,sequence,camera,frame,status,n_hands,image_width,image_height,pipeline_focal,cache_file
p36-tea-0010__brics-odroid-002_cam0__000025,p36-tea-0010,brics-odroid-002_cam0,25,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-002_cam0__000025.npz
p36-tea-0010__brics-odroid-002_cam0__000026,p36-tea-0010,brics-odroid-002_cam0,26,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-002_cam0__000026.npz
p36-tea-0010__brics-odroid-002_cam0__000027,p36-tea-0010,brics-odroid-002_cam0,27,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-002_cam0__000027.npz
p36-tea-0010__brics-odroid-002_cam0__000028,p36-tea-0010,brics-odroid-002_cam0,28,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-002_cam0__000028.npz
p36-tea-0010__brics-odroid-002_cam0__000029,p36-tea-0010,brics-odroid-002_cam0,29,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-002_cam0__000029.npz
p36-tea-0010__brics-odroid-002_cam0__000030,p36-tea-0010,brics-odroid-002_cam0,30,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-002_cam0__000030.npz
p36-tea-0010__brics-odroid-002_cam0__000031,p36-tea-0010,brics-odroid-002_cam0,31,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-002_cam0__000031.npz
p36-tea-0010__brics-odroid-002_cam0__000032,p36-tea-0010,brics-odroid-002_cam0,32,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-002_cam0__000032.npz
p36-tea-0010__brics-odroid-006_cam0__000011,p36-tea-0010,brics-odroid-006_cam0,11,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-006_cam0__000011.npz
p36-tea-0010__brics-odroid-006_cam0__000012,p36-tea-0010,brics-odroid-006_cam0,12,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-006_cam0__000012.npz
p36-tea-0010__brics-odroid-006_cam0__000013,p36-tea-0010,brics-odroid-006_cam0,13,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-006_cam0__000013.npz
p36-tea-0010__brics-odroid-006_cam0__000014,p36-tea-0010,brics-odroid-006_cam0,14,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-006_cam0__000014.npz
p36-tea-0010__brics-odroid-006_cam0__000016,p36-tea-0010,brics-odroid-006_cam0,16,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-006_cam0__000016.npz
p36-tea-0010__brics-odroid-006_cam0__000021,p36-tea-0010,brics-odroid-006_cam0,21,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-006_cam0__000021.npz
p36-tea-0010__brics-odroid-006_cam0__000023,p36-tea-0010,brics-odroid-006_cam0,23,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-006_cam0__000023.npz
p36-tea-0010__brics-odroid-006_cam0__000025,p36-tea-0010,brics-odroid-006_cam0,25,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-006_cam0__000025.npz
p36-tea-0010__brics-odroid-006_cam0__000026,p36-tea-0010,brics-odroid-006_cam0,26,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-006_cam0__000026.npz
p36-tea-0010__brics-odroid-006_cam0__000027,p36-tea-0010,brics-odroid-006_cam0,27,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-006_cam0__000027.npz
p36-tea-0010__brics-odroid-007_cam0__000000,p36-tea-0010,brics-odroid-007_cam0,0,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam0__000000.npz
p36-tea-0010__brics-odroid-007_cam0__000001,p36-tea-0010,brics-odroid-007_cam0,1,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam0__000001.npz
p36-tea-0010__brics-odroid-007_cam0__000002,p36-tea-0010,brics-odroid-007_cam0,2,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam0__000002.npz
p36-tea-0010__brics-odroid-007_cam0__000003,p36-tea-0010,brics-odroid-007_cam0,3,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam0__000003.npz
p36-tea-0010__brics-odroid-007_cam0__000004,p36-tea-0010,brics-odroid-007_cam0,4,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam0__000004.npz
p36-tea-0010__brics-odroid-007_cam0__000005,p36-tea-0010,brics-odroid-007_cam0,5,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam0__000005.npz
p36-tea-0010__brics-odroid-007_cam0__000006,p36-tea-0010,brics-odroid-007_cam0,6,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam0__000006.npz
p36-tea-0010__brics-odroid-007_cam0__000007,p36-tea-0010,brics-odroid-007_cam0,7,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam0__000007.npz
p36-tea-0010__brics-odroid-007_cam0__000008,p36-tea-0010,brics-odroid-007_cam0,8,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam0__000008.npz
p36-tea-0010__brics-odroid-007_cam0__000009,p36-tea-0010,brics-odroid-007_cam0,9,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam0__000009.npz
p36-tea-0010__brics-odroid-007_cam1__000000,p36-tea-0010,brics-odroid-007_cam1,0,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam1__000000.npz
p36-tea-0010__brics-odroid-007_cam1__000001,p36-tea-0010,brics-odroid-007_cam1,1,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam1__000001.npz
p36-tea-0010__brics-odroid-007_cam1__000002,p36-tea-0010,brics-odroid-007_cam1,2,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam1__000002.npz
p36-tea-0010__brics-odroid-007_cam1__000003,p36-tea-0010,brics-odroid-007_cam1,3,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam1__000003.npz
p36-tea-0010__brics-odroid-007_cam1__000004,p36-tea-0010,brics-odroid-007_cam1,4,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam1__000004.npz
p36-tea-0010__brics-odroid-007_cam1__000005,p36-tea-0010,brics-odroid-007_cam1,5,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam1__000005.npz
p36-tea-0010__brics-odroid-007_cam1__000006,p36-tea-0010,brics-odroid-007_cam1,6,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam1__000006.npz
p36-tea-0010__brics-odroid-007_cam1__000007,p36-tea-0010,brics-odroid-007_cam1,7,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam1__000007.npz
p36-tea-0010__brics-odroid-007_cam1__000008,p36-tea-0010,brics-odroid-007_cam1,8,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-007_cam1__000008.npz
p36-tea-0010__brics-odroid-009_cam1__000000,p36-tea-0010,brics-odroid-009_cam1,0,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-009_cam1__000000.npz
p36-tea-0010__brics-odroid-009_cam1__000001,p36-tea-0010,brics-odroid-009_cam1,1,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-009_cam1__000001.npz
p36-tea-0010__brics-odroid-009_cam1__000002,p36-tea-0010,brics-odroid-009_cam1,2,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-009_cam1__000002.npz
p36-tea-0010__brics-odroid-009_cam1__000003,p36-tea-0010,brics-odroid-009_cam1,3,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-009_cam1__000003.npz
p36-tea-0010__brics-odroid-009_cam1__000004,p36-tea-0010,brics-odroid-009_cam1,4,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-009_cam1__000004.npz
p36-tea-0010__brics-odroid-009_cam1__000005,p36-tea-0010,brics-odroid-009_cam1,5,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-009_cam1__000005.npz
p36-tea-0010__brics-odroid-009_cam1__000006,p36-tea-0010,brics-odroid-009_cam1,6,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-009_cam1__000006.npz
p36-tea-0010__brics-odroid-009_cam1__000007,p36-tea-0010,brics-odroid-009_cam1,7,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-009_cam1__000007.npz
p36-tea-0010__brics-odroid-009_cam1__000008,p36-tea-0010,brics-odroid-009_cam1,8,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-009_cam1__000008.npz
p36-tea-0010__brics-odroid-010_cam0__000000,p36-tea-0010,brics-odroid-010_cam0,0,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-010_cam0__000000.npz
p36-tea-0010__brics-odroid-010_cam0__000001,p36-tea-0010,brics-odroid-010_cam0,1,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-010_cam0__000001.npz
p36-tea-0010__brics-odroid-010_cam0__000002,p36-tea-0010,brics-odroid-010_cam0,2,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-010_cam0__000002.npz
p36-tea-0010__brics-odroid-010_cam0__000003,p36-tea-0010,brics-odroid-010_cam0,3,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-010_cam0__000003.npz
p36-tea-0010__brics-odroid-010_cam0__000004,p36-tea-0010,brics-odroid-010_cam0,4,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-010_cam0__000004.npz
p36-tea-0010__brics-odroid-010_cam0__000005,p36-tea-0010,brics-odroid-010_cam0,5,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-010_cam0__000005.npz
p36-tea-0010__brics-odroid-010_cam0__000006,p36-tea-0010,brics-odroid-010_cam0,6,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-010_cam0__000006.npz
p36-tea-0010__brics-odroid-010_cam0__000007,p36-tea-0010,brics-odroid-010_cam0,7,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-010_cam0__000007.npz
p36-tea-0010__brics-odroid-010_cam0__000008,p36-tea-0010,brics-odroid-010_cam0,8,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-010_cam0__000008.npz
p36-tea-0010__brics-odroid-011_cam0__000000,p36-tea-0010,brics-odroid-011_cam0,0,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-011_cam0__000000.npz
p36-tea-0010__brics-odroid-011_cam0__000001,p36-tea-0010,brics-odroid-011_cam0,1,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-011_cam0__000001.npz
p36-tea-0010__brics-odroid-011_cam0__000002,p36-tea-0010,brics-odroid-011_cam0,2,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-011_cam0__000002.npz
p36-tea-0010__brics-odroid-011_cam0__000003,p36-tea-0010,brics-odroid-011_cam0,3,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-011_cam0__000003.npz
p36-tea-0010__brics-odroid-011_cam0__000004,p36-tea-0010,brics-odroid-011_cam0,4,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-011_cam0__000004.npz
p36-tea-0010__brics-odroid-011_cam0__000005,p36-tea-0010,brics-odroid-011_cam0,5,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-011_cam0__000005.npz
p36-tea-0010__brics-odroid-011_cam0__000006,p36-tea-0010,brics-odroid-011_cam0,6,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-011_cam0__000006.npz
p36-tea-0010__brics-odroid-011_cam0__000007,p36-tea-0010,brics-odroid-011_cam0,7,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-011_cam0__000007.npz
p36-tea-0010__brics-odroid-011_cam0__000008,p36-tea-0010,brics-odroid-011_cam0,8,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-011_cam0__000008.npz
p36-tea-0010__brics-odroid-012_cam0__000000,p36-tea-0010,brics-odroid-012_cam0,0,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam0__000000.npz
p36-tea-0010__brics-odroid-012_cam0__000001,p36-tea-0010,brics-odroid-012_cam0,1,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam0__000001.npz
p36-tea-0010__brics-odroid-012_cam0__000002,p36-tea-0010,brics-odroid-012_cam0,2,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam0__000002.npz
p36-tea-0010__brics-odroid-012_cam0__000003,p36-tea-0010,brics-odroid-012_cam0,3,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam0__000003.npz
p36-tea-0010__brics-odroid-012_cam0__000004,p36-tea-0010,brics-odroid-012_cam0,4,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam0__000004.npz
p36-tea-0010__brics-odroid-012_cam0__000005,p36-tea-0010,brics-odroid-012_cam0,5,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam0__000005.npz
p36-tea-0010__brics-odroid-012_cam0__000006,p36-tea-0010,brics-odroid-012_cam0,6,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam0__000006.npz
p36-tea-0010__brics-odroid-012_cam0__000007,p36-tea-0010,brics-odroid-012_cam0,7,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam0__000007.npz
p36-tea-0010__brics-odroid-012_cam0__000008,p36-tea-0010,brics-odroid-012_cam0,8,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam0__000008.npz
p36-tea-0010__brics-odroid-012_cam1__000000,p36-tea-0010,brics-odroid-012_cam1,0,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam1__000000.npz
p36-tea-0010__brics-odroid-012_cam1__000001,p36-tea-0010,brics-odroid-012_cam1,1,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam1__000001.npz
p36-tea-0010__brics-odroid-012_cam1__000002,p36-tea-0010,brics-odroid-012_cam1,2,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam1__000002.npz
p36-tea-0010__brics-odroid-012_cam1__000003,p36-tea-0010,brics-odroid-012_cam1,3,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam1__000003.npz
p36-tea-0010__brics-odroid-012_cam1__000004,p36-tea-0010,brics-odroid-012_cam1,4,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam1__000004.npz
p36-tea-0010__brics-odroid-012_cam1__000005,p36-tea-0010,brics-odroid-012_cam1,5,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam1__000005.npz
p36-tea-0010__brics-odroid-012_cam1__000006,p36-tea-0010,brics-odroid-012_cam1,6,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam1__000006.npz
p36-tea-0010__brics-odroid-012_cam1__000007,p36-tea-0010,brics-odroid-012_cam1,7,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam1__000007.npz
p36-tea-0010__brics-odroid-012_cam1__000008,p36-tea-0010,brics-odroid-012_cam1,8,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam1__000008.npz
p36-tea-0010__brics-odroid-012_cam1__000009,p36-tea-0010,brics-odroid-012_cam1,9,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-012_cam1__000009.npz
p36-tea-0010__brics-odroid-014_cam1__000053,p36-tea-0010,brics-odroid-014_cam1,53,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-014_cam1__000053.npz
p36-tea-0010__brics-odroid-014_cam1__000056,p36-tea-0010,brics-odroid-014_cam1,56,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-014_cam1__000056.npz
p36-tea-0010__brics-odroid-014_cam1__000080,p36-tea-0010,brics-odroid-014_cam1,80,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-014_cam1__000080.npz
p36-tea-0010__brics-odroid-014_cam1__000081,p36-tea-0010,brics-odroid-014_cam1,81,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-014_cam1__000081.npz
p36-tea-0010__brics-odroid-014_cam1__000082,p36-tea-0010,brics-odroid-014_cam1,82,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-014_cam1__000082.npz
p36-tea-0010__brics-odroid-014_cam1__000084,p36-tea-0010,brics-odroid-014_cam1,84,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-014_cam1__000084.npz
p36-tea-0010__brics-odroid-014_cam1__000086,p36-tea-0010,brics-odroid-014_cam1,86,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-014_cam1__000086.npz
p36-tea-0010__brics-odroid-014_cam1__000088,p36-tea-0010,brics-odroid-014_cam1,88,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-014_cam1__000088.npz
p36-tea-0010__brics-odroid-014_cam1__000092,p36-tea-0010,brics-odroid-014_cam1,92,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-014_cam1__000092.npz
p36-tea-0010__brics-odroid-015_cam0__000035,p36-tea-0010,brics-odroid-015_cam0,35,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-015_cam0__000035.npz
p36-tea-0010__brics-odroid-015_cam0__000036,p36-tea-0010,brics-odroid-015_cam0,36,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-015_cam0__000036.npz
p36-tea-0010__brics-odroid-015_cam0__000037,p36-tea-0010,brics-odroid-015_cam0,37,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-015_cam0__000037.npz
