case_id,sequence,camera,frame,hand_side,existing_qc_label,existing_case_label,stratum,rgb_source,2d_source,reference_3d_source,loco_status,loco_ok,loco_n_inlier_cameras,loco_reproj_to_this_camera_px,audit_image,panel_exists,RGB_MATCH,2D_ON_CORRECT_HAND,HAND_SIDE_CORRECT,MAJOR_2D_FAILURE,MAJOR_OCCLUSION,LOCO_3D_REPROJECTION_PLAUSIBLE,NOT_REVIEWABLE,NOTES,reviewer,review_method
C010,p36-tea-0010,brics-odroid-025_cam1,260,left,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|left|PASS_STRICT|q2_mid|t_late,p36-tea-0010 / brics-odroid-025_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,13,8.609,manual_qc/panels/C010.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C011,p36-tea-0010,brics-odroid-007_cam1,237,left,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|left|PASS_STRICT|q2_mid|t_mid,p36-tea-0010 / brics-odroid-007_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,10,10.109,manual_qc/panels/C011.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C012,p36-tea-0010,brics-odroid-027_cam0,102,right,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|right|PASS_SINGLE_HAND|q1_low|t_early,p36-tea-0010 / brics-odroid-027_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,13,6.396,manual_qc/panels/C012.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C013,p36-tea-0010,brics-odroid-020_cam0,368,right,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|right|PASS_SINGLE_HAND|q1_low|t_late,p36-tea-0010 / brics-odroid-020_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,18,9.299,manual_qc/panels/C013.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C014,p36-tea-0010,brics-odroid-026_cam0,159,right,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|right|PASS_SINGLE_HAND|q1_low|t_mid,p36-tea-0010 / brics-odroid-026_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,11,4.69,manual_qc/panels/C014.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C015,p36-tea-0010,brics-odroid-024_cam1,90,right,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|right|PASS_SINGLE_HAND|q2_mid|t_early,p36-tea-0010 / brics-odroid-024_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,10,10.65,manual_qc/panels/C015.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C016,p36-tea-0010,brics-odroid-010_cam1,305,right,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|right|PASS_SINGLE_HAND|q2_mid|t_late,p36-tea-0010 / brics-odroid-010_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,19,10.997,manual_qc/panels/C016.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C017,p36-tea-0010,brics-odroid-030_cam0,125,right,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|right|PASS_SINGLE_HAND|q2_mid|t_mid,p36-tea-0010 / brics-odroid-030_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,15,7.638,manual_qc/panels/C017.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C018,p36-tea-0010,brics-odroid-019_cam1,0,right,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|right|PASS_STRICT|q1_low|t_early,p36-tea-0010 / brics-odroid-019_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,17,5.127,manual_qc/panels/C018.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C019,p36-tea-0010,brics-odroid-016_cam0,356,right,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|right|PASS_STRICT|q1_low|t_late,p36-tea-0010 / brics-odroid-016_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,18,2.488,manual_qc/panels/C019.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C020,p36-tea-0010,brics-odroid-015_cam1,231,right,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|right|PASS_STRICT|q1_low|t_mid,p36-tea-0010 / brics-odroid-015_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,10,5.015,manual_qc/panels/C020.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C021,p36-tea-0010,brics-odroid-011_cam0,39,right,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|right|PASS_STRICT|q2_mid|t_early,p36-tea-0010 / brics-odroid-011_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,18,5.171,manual_qc/panels/C021.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C022,p36-tea-0010,brics-odroid-022_cam0,328,right,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|right|PASS_STRICT|q2_mid|t_late,p36-tea-0010 / brics-odroid-022_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,17,4.448,manual_qc/panels/C022.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C023,p36-tea-0010,brics-odroid-021_cam0,125,right,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|right|PASS_STRICT|q2_mid|t_mid,p36-tea-0010 / brics-odroid-021_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,14,6.495,manual_qc/panels/C023.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C024,p41-boxing-0021,brics-odroid-002_cam0,11,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|left|PASS_SINGLE_HAND|q1_low|t_early,p41-boxing-0021 / brics-odroid-002_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,16,14.086,manual_qc/panels/C024.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C025,p41-boxing-0021,brics-odroid-021_cam1,354,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|left|PASS_SINGLE_HAND|q1_low|t_late,p41-boxing-0021 / brics-odroid-021_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,18,5.929,manual_qc/panels/C025.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C026,p41-boxing-0021,brics-odroid-030_cam1,57,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|left|PASS_SINGLE_HAND|q2_mid|t_early,p41-boxing-0021 / brics-odroid-030_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,11,12.444,manual_qc/panels/C026.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C027,p41-boxing-0021,brics-odroid-008_cam0,314,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|left|PASS_SINGLE_HAND|q2_mid|t_late,p41-boxing-0021 / brics-odroid-008_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,10,10.021,manual_qc/panels/C027.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C028,p41-boxing-0021,brics-odroid-017_cam1,120,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|left|PASS_SINGLE_HAND|q2_mid|t_mid,p41-boxing-0021 / brics-odroid-017_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,14,7.502,manual_qc/panels/C028.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C029,p41-boxing-0021,brics-odroid-012_cam0,11,left,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|left|PASS_STRICT|q1_low|t_early,p41-boxing-0021 / brics-odroid-012_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,16,3.277,manual_qc/panels/C029.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C030,p41-boxing-0021,brics-odroid-017_cam0,354,left,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|left|PASS_STRICT|q1_low|t_late,p41-boxing-0021 / brics-odroid-017_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,18,15.589,manual_qc/panels/C030.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C031,p41-boxing-0021,brics-odroid-015_cam0,28,left,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|left|PASS_STRICT|q2_mid|t_early,p41-boxing-0021 / brics-odroid-015_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,11,9.189,manual_qc/panels/C031.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C032,p41-boxing-0021,brics-odroid-024_cam0,337,left,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|left|PASS_STRICT|q2_mid|t_late,p41-boxing-0021 / brics-odroid-024_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,14,6.404,manual_qc/panels/C032.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C033,p41-boxing-0021,brics-odroid-007_cam1,171,left,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|left|PASS_STRICT|q2_mid|t_mid,p41-boxing-0021 / brics-odroid-007_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,15,15.238,manual_qc/panels/C033.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C034,p41-boxing-0021,brics-odroid-029_cam1,51,right,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|right|PASS_SINGLE_HAND|q1_low|t_early,p41-boxing-0021 / brics-odroid-029_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,18,9.602,manual_qc/panels/C034.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C035,p41-boxing-0021,brics-odroid-026_cam0,331,right,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|right|PASS_SINGLE_HAND|q1_low|t_late,p41-boxing-0021 / brics-odroid-026_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,17,5.569,manual_qc/panels/C035.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C036,p41-boxing-0021,brics-odroid-028_cam0,177,right,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|right|PASS_SINGLE_HAND|q1_low|t_mid,p41-boxing-0021 / brics-odroid-028_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,17,7.312,manual_qc/panels/C036.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C037,p41-boxing-0021,brics-odroid-029_cam0,108,right,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|right|PASS_SINGLE_HAND|q2_mid|t_early,p41-boxing-0021 / brics-odroid-029_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,16,5.78,manual_qc/panels/C037.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C038,p41-boxing-0021,brics-odroid-023_cam0,280,right,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|right|PASS_SINGLE_HAND|q2_mid|t_late,p41-boxing-0021 / brics-odroid-023_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,11,8.725,manual_qc/panels/C038.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C039,p41-boxing-0021,brics-odroid-009_cam1,228,right,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|right|PASS_SINGLE_HAND|q2_mid|t_mid,p41-boxing-0021 / brics-odroid-009_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,14,4.866,manual_qc/panels/C039.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C040,p41-boxing-0021,brics-odroid-026_cam1,74,right,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|right|PASS_STRICT|q1_low|t_early,p41-boxing-0021 / brics-odroid-026_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,17,7.348,manual_qc/panels/C040.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C041,p41-boxing-0021,brics-odroid-020_cam0,285,right,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|right|PASS_STRICT|q1_low|t_late,p41-boxing-0021 / brics-odroid-020_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,12,4.482,manual_qc/panels/C041.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C042,p41-boxing-0021,brics-odroid-016_cam0,234,right,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|right|PASS_STRICT|q1_low|t_mid,p41-boxing-0021 / brics-odroid-016_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,14,3.04,manual_qc/panels/C042.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C043,p41-boxing-0021,brics-odroid-020_cam1,68,right,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|right|PASS_STRICT|q2_mid|t_early,p41-boxing-0021 / brics-odroid-020_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,17,3.014,manual_qc/panels/C043.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C044,p41-boxing-0021,brics-odroid-012_cam1,360,right,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|right|PASS_STRICT|q2_mid|t_late,p41-boxing-0021 / brics-odroid-012_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,18,4.485,manual_qc/panels/C044.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C045,p41-boxing-0021,brics-odroid-015_cam1,142,right,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p41-boxing-0021|right|PASS_STRICT|q2_mid|t_mid,p41-boxing-0021 / brics-odroid-015_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,11,5.978,manual_qc/panels/C045.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C046,p41-plant-0004,brics-odroid-020_cam1,0,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-plant-0004|left|PASS_SINGLE_HAND|q1_low|t_early,p41-plant-0004 / brics-odroid-020_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,11,11.746,manual_qc/panels/C046.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C047,p41-plant-0004,brics-odroid-019_cam1,138,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-plant-0004|left|PASS_SINGLE_HAND|q1_low|t_late,p41-plant-0004 / brics-odroid-019_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,14,15.126,manual_qc/panels/C047.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C048,p41-plant-0004,brics-odroid-006_cam0,106,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-plant-0004|left|PASS_SINGLE_HAND|q1_low|t_mid,p41-plant-0004 / brics-odroid-006_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,13,10.88,manual_qc/panels/C048.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C049,p41-plant-0004,brics-odroid-001_cam1,37,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-plant-0004|left|PASS_SINGLE_HAND|q2_mid|t_early,p41-plant-0004 / brics-odroid-001_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,10,12.907,manual_qc/panels/C049.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C050,p41-plant-0004,brics-odroid-007_cam0,157,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-plant-0004|left|PASS_SINGLE_HAND|q2_mid|t_late,p41-plant-0004 / brics-odroid-007_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,12,4.375,manual_qc/panels/C050.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C051,p41-plant-0004,brics-odroid-017_cam0,109,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p41-plant-0004|left|PASS_SINGLE_HAND|q2_mid|t_mid,p41-plant-0004 / brics-odroid-017_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,11,11.525,manual_qc/panels/C051.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C052,p41-plant-0004,brics-odroid-011_cam0,0,left,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p41-plant-0004|left|PASS_STRICT|q1_low|t_early,p41-plant-0004 / brics-odroid-011_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,11,4.352,manual_qc/panels/C052.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
