sequence,camera,n_hand_observations,n_frames,f_scene,n_scene_frames
p41-boxing-0021,brics-odroid-014_cam1,61,35,844.539,35
p41-boxing-0021,brics-odroid-015_cam0,108,61,853.383,61
p41-boxing-0021,brics-odroid-015_cam1,114,58,831.704,58
p41-boxing-0021,brics-odroid-016_cam0,95,51,923.786,51
p41-boxing-0021,brics-odroid-017_cam0,81,41,855.98,41
p41-boxing-0021,brics-odroid-017_cam1,114,58,888.353,58
p41-boxing-0021,brics-odroid-019_cam1,67,36,849.683,36
p41-boxing-0021,brics-odroid-020_cam0,108,61,778.358,61
p41-boxing-0021,brics-odroid-020_cam1,115,60,839.818,60
p41-boxing-0021,brics-odroid-021_cam0,103,52,833.83,52
p41-boxing-0021,brics-odroid-021_cam1,80,46,771.58,46
p41-boxing-0021,brics-odroid-022_cam0,2,1,840.846,1
p41-boxing-0021,brics-odroid-023_cam0,105,54,845.596,54
p41-boxing-0021,brics-odroid-024_cam0,98,51,813.125,51
p41-boxing-0021,brics-odroid-024_cam1,105,55,867.421,55
p41-boxing-0021,brics-odroid-025_cam0,106,56,720.863,56
p41-boxing-0021,brics-odroid-025_cam1,46,24,839.144,24
p41-boxing-0021,brics-odroid-026_cam0,42,22,842.808,22
p41-boxing-0021,brics-odroid-026_cam1,89,45,847.141,45
p41-boxing-0021,brics-odroid-027_cam0,32,16,883.717,16
p41-boxing-0021,brics-odroid-028_cam0,45,26,822.096,26
p41-boxing-0021,brics-odroid-029_cam0,35,19,845.277,19
p41-boxing-0021,brics-odroid-029_cam1,106,56,893.201,56
p41-boxing-0021,brics-odroid-030_cam0,105,62,784.071,62
p41-boxing-0021,brics-odroid-030_cam1,100,54,755.771,54
p41-plant-0004,brics-odroid-001_cam1,117,59,865.352,59
p41-plant-0004,brics-odroid-002_cam0,99,50,946.985,50
p41-plant-0004,brics-odroid-006_cam0,119,62,921.581,62
p41-plant-0004,brics-odroid-007_cam0,122,63,831.341,63
p41-plant-0004,brics-odroid-007_cam1,123,63,867.858,63
p41-plant-0004,brics-odroid-009_cam1,102,59,779.291,59
p41-plant-0004,brics-odroid-010_cam0,108,55,713.815,55
p41-plant-0004,brics-odroid-010_cam1,6,3,860.662,3
p41-plant-0004,brics-odroid-011_cam0,120,62,889.686,62
p41-plant-0004,brics-odroid-012_cam0,122,62,826.352,62
p41-plant-0004,brics-odroid-012_cam1,124,63,819.677,63
p41-plant-0004,brics-odroid-014_cam1,50,27,823.899,27
p41-plant-0004,brics-odroid-015_cam0,14,7,869.71,7
p41-plant-0004,brics-odroid-015_cam1,102,54,752.302,54
p41-plant-0004,brics-odroid-016_cam0,115,58,1061.888,58
p41-plant-0004,brics-odroid-017_cam0,107,54,835.107,54
p41-plant-0004,brics-odroid-017_cam1,103,52,880.726,52
p41-plant-0004,brics-odroid-019_cam1,53,27,907.996,27
p41-plant-0004,brics-odroid-020_cam0,112,57,937.695,57
p41-plant-0004,brics-odroid-020_cam1,52,26,856.27,26
p41-plant-0004,brics-odroid-021_cam0,113,57,787.171,57
p41-plant-0004,brics-odroid-021_cam1,109,55,862.029,55
p41-plant-0004,brics-odroid-022_cam0,25,13,915.13,13
p41-plant-0004,brics-odroid-022_cam1,103,52,773.104,52
p41-plant-0004,brics-odroid-023_cam0,123,63,873.346,63
p41-plant-0004,brics-odroid-024_cam0,120,62,824.335,62
p41-plant-0004,brics-odroid-024_cam1,119,61,763.809,61
p41-plant-0004,brics-odroid-025_cam0,113,58,690.067,58
p41-plant-0004,brics-odroid-025_cam1,124,63,641.73,63
p44-dog-0004,brics-odroid-001_cam1,20,18,877.708,18
p44-dog-0004,brics-odroid-002_cam0,42,25,862.878,25
p44-dog-0004,brics-odroid-006_cam0,112,64,806.928,64
p44-dog-0004,brics-odroid-007_cam0,96,64,860.43,64
p44-dog-0004,brics-odroid-007_cam1,106,64,765.146,64
p44-dog-0004,brics-odroid-008_cam0,27,14,945.684,14
p44-dog-0004,brics-odroid-009_cam1,98,64,860.833,64
p44-dog-0004,brics-odroid-010_cam0,120,64,879.264,64
p44-dog-0004,brics-odroid-011_cam0,104,64,755.808,64
p44-dog-0004,brics-odroid-012_cam0,89,51,846.314,51
p44-dog-0004,brics-odroid-012_cam1,118,64,841.411,64
p44-dog-0004,brics-odroid-014_cam1,80,41,773.343,41
p44-dog-0004,brics-odroid-015_cam1,110,64,765.482,64
p44-dog-0004,brics-odroid-016_cam0,98,56,930.206,56
p44-dog-0004,brics-odroid-017_cam0,97,51,873.71,51
p44-dog-0004,brics-odroid-017_cam1,74,41,852.845,41
p44-dog-0004,brics-odroid-019_cam1,17,9,1002.768,9
p44-dog-0004,brics-odroid-020_cam0,86,46,756.711,46
p44-dog-0004,brics-odroid-020_cam1,57,41,841.433,41
p44-dog-0004,brics-odroid-021_cam0,97,54,790.306,54
p44-dog-0004,brics-odroid-021_cam1,92,56,806.363,56
p44-dog-0004,brics-odroid-022_cam0,45,26,825.064,26
p44-dog-0004,brics-odroid-022_cam1,112,61,725.391,61
p44-dog-0004,brics-odroid-023_cam0,14,7,832.412,7
p44-dog-0004,brics-odroid-024_cam0,112,64,737.34,64
p44-dog-0004,brics-odroid-024_cam1,113,64,792.025,64
p44-dog-0004,brics-odroid-025_cam0,86,46,658.866,46
p44-dog-0004,brics-odroid-025_cam1,117,64,706.294,64
p44-dog-0004,brics-odroid-026_cam0,83,49,891.555,49
p44-dog-0004,brics-odroid-026_cam1,33,19,895.397,19
p44-dog-0004,brics-odroid-027_cam0,12,6,901.256,6
p44-dog-0004,brics-odroid-027_cam1,2,1,776.255,1
p44-dog-0004,brics-odroid-029_cam0,29,18,825.612,18
p44-dog-0004,brics-odroid-029_cam1,32,19,793.115,19
p44-dog-0004,brics-odroid-030_cam0,19,12,776.054,12
p44-dog-0004,brics-odroid-030_cam1,2,1,752.219,1
p52-instrument-0034,brics-odroid-002_cam0,128,64,885.408,64
p52-instrument-0034,brics-odroid-007_cam0,125,64,875.318,64
p52-instrument-0034,brics-odroid-007_cam1,128,64,809.239,64
p52-instrument-0034,brics-odroid-012_cam1,128,64,850.604,64
p52-instrument-0034,brics-odroid-015_cam1,128,64,789.218,64
p52-instrument-0034,brics-odroid-016_cam0,126,64,984.551,64
p52-instrument-0034,brics-odroid-021_cam0,128,64,802.681,64
p52-instrument-0034,brics-odroid-023_cam0,128,64,855.334,64
p52-instrument-0034,brics-odroid-024_cam0,128,64,863.153,64
p52-instrument-0034,brics-odroid-025_cam1,128,64,874.75,64
p52-instrument-0034,brics-odroid-027_cam0,47,27,880.915,27
p52-instrument-0034,brics-odroid-030_cam0,119,64,772.497,64
p52-instrument-0034,brics-odroid-030_cam1,26,13,777.169,13
