sequence,camera,hand_observations,camera_under_test_in_inliers
p44-dog-0004,brics-odroid-021_cam1,104,0
p44-dog-0004,brics-odroid-022_cam0,51,0
p44-dog-0004,brics-odroid-022_cam1,122,0
p44-dog-0004,brics-odroid-023_cam0,14,0
p44-dog-0004,brics-odroid-024_cam0,128,0
p44-dog-0004,brics-odroid-024_cam1,128,0
p44-dog-0004,brics-odroid-025_cam0,92,0
p44-dog-0004,brics-odroid-025_cam1,128,0
p44-dog-0004,brics-odroid-026_cam0,94,0
p44-dog-0004,brics-odroid-026_cam1,37,0
p44-dog-0004,brics-odroid-027_cam0,12,0
p44-dog-0004,brics-odroid-027_cam1,2,0
p44-dog-0004,brics-odroid-029_cam0,34,0
p44-dog-0004,brics-odroid-029_cam1,37,0
p44-dog-0004,brics-odroid-030_cam0,20,0
p44-dog-0004,brics-odroid-030_cam1,2,0
p52-instrument-0034,brics-odroid-002_cam0,128,0
p52-instrument-0034,brics-odroid-007_cam0,125,0
p52-instrument-0034,brics-odroid-007_cam1,128,0
p52-instrument-0034,brics-odroid-012_cam1,128,0
p52-instrument-0034,brics-odroid-015_cam1,128,0
p52-instrument-0034,brics-odroid-016_cam0,126,0
p52-instrument-0034,brics-odroid-021_cam0,128,0
p52-instrument-0034,brics-odroid-023_cam0,128,0
p52-instrument-0034,brics-odroid-024_cam0,128,0
p52-instrument-0034,brics-odroid-025_cam1,128,0
p52-instrument-0034,brics-odroid-027_cam0,47,0
p52-instrument-0034,brics-odroid-030_cam0,119,0
p52-instrument-0034,brics-odroid-030_cam1,26,0
