physical_camera_id,sequence_a,sequence_b,rotation_difference_deg,translation_difference_m,camera_centre_difference_m,fx_a,fx_b,fx_difference_px
brics-odroid-002_cam0,p41-boxing-0021,p52-instrument-0034,0.7429,0.011381,0.00524,940.341,931.786,8.5544
brics-odroid-002_cam0,p41-plant-0004,p44-dog-0004,3.3384,0.028266,0.057997,940.341,885.954,54.3871
brics-odroid-002_cam0,p41-plant-0004,p52-instrument-0034,0.7429,0.011381,0.00524,940.341,931.786,8.5544
brics-odroid-002_cam0,p44-dog-0004,p52-instrument-0034,3.9071,0.029502,0.061876,885.954,931.786,45.8327
brics-odroid-006_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,919.384,919.384,0.0
brics-odroid-006_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,919.384,919.384,0.0
brics-odroid-006_cam0,p36-tea-0010,p44-dog-0004,5.6826,0.047728,0.03912,919.384,899.017,20.3669
brics-odroid-006_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,919.384,919.384,0.0
brics-odroid-006_cam0,p41-boxing-0021,p44-dog-0004,5.6826,0.047728,0.03912,919.384,899.017,20.3669
brics-odroid-006_cam0,p41-plant-0004,p44-dog-0004,5.6826,0.047728,0.03912,919.384,899.017,20.3669
brics-odroid-007_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,924.42,924.42,0.0
brics-odroid-007_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,924.42,924.42,0.0
brics-odroid-007_cam0,p36-tea-0010,p44-dog-0004,1.2536,0.018416,0.015889,924.42,932.032,7.6118
brics-odroid-007_cam0,p36-tea-0010,p52-instrument-0034,1.351,0.015358,0.007485,924.42,919.0,5.4202
brics-odroid-007_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,924.42,924.42,0.0
brics-odroid-007_cam0,p41-boxing-0021,p44-dog-0004,1.2536,0.018416,0.015889,924.42,932.032,7.6118
brics-odroid-007_cam0,p41-boxing-0021,p52-instrument-0034,1.351,0.015358,0.007485,924.42,919.0,5.4202
brics-odroid-007_cam0,p41-plant-0004,p44-dog-0004,1.2536,0.018416,0.015889,924.42,932.032,7.6118
brics-odroid-007_cam0,p41-plant-0004,p52-instrument-0034,1.351,0.015358,0.007485,924.42,919.0,5.4202
brics-odroid-007_cam0,p44-dog-0004,p52-instrument-0034,2.5427,0.028836,0.021598,932.032,919.0,13.0319
brics-odroid-007_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,931.305,931.305,0.0
brics-odroid-007_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,931.305,931.305,0.0
brics-odroid-007_cam1,p36-tea-0010,p44-dog-0004,1.6963,0.012913,0.014656,931.305,932.875,1.57
brics-odroid-007_cam1,p36-tea-0010,p52-instrument-0034,1.2286,0.007711,0.013945,931.305,945.903,14.5989
brics-odroid-007_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,931.305,931.305,0.0
brics-odroid-007_cam1,p41-boxing-0021,p44-dog-0004,1.6963,0.012913,0.014656,931.305,932.875,1.57
brics-odroid-007_cam1,p41-boxing-0021,p52-instrument-0034,1.2286,0.007711,0.013945,931.305,945.903,14.5989
brics-odroid-007_cam1,p41-plant-0004,p44-dog-0004,1.6963,0.012913,0.014656,931.305,932.875,1.57
brics-odroid-007_cam1,p41-plant-0004,p52-instrument-0034,1.2286,0.007711,0.013945,931.305,945.903,14.5989
brics-odroid-007_cam1,p44-dog-0004,p52-instrument-0034,2.5729,0.016163,0.027537,932.875,945.903,13.0289
brics-odroid-008_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,919.474,919.474,0.0
brics-odroid-008_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,919.474,919.474,0.0
brics-odroid-008_cam0,p36-tea-0010,p44-dog-0004,1.8294,0.015744,0.018066,919.474,941.907,22.4327
brics-odroid-008_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,919.474,919.474,0.0
brics-odroid-008_cam0,p41-boxing-0021,p44-dog-0004,1.8294,0.015744,0.018066,919.474,941.907,22.4327
brics-odroid-008_cam0,p41-plant-0004,p44-dog-0004,1.8294,0.015744,0.018066,919.474,941.907,22.4327
brics-odroid-009_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,931.935,931.935,0.0
brics-odroid-009_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,931.935,931.935,0.0
brics-odroid-009_cam1,p36-tea-0010,p44-dog-0004,2.3519,0.014455,0.019335,931.935,959.594,27.6585
brics-odroid-009_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,931.935,931.935,0.0
brics-odroid-009_cam1,p41-boxing-0021,p44-dog-0004,2.3519,0.014455,0.019335,931.935,959.594,27.6585
brics-odroid-009_cam1,p41-plant-0004,p44-dog-0004,2.3519,0.014455,0.019335,931.935,959.594,27.6585
brics-odroid-010_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,932.027,932.027,0.0
brics-odroid-010_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,932.027,932.027,0.0
brics-odroid-010_cam0,p36-tea-0010,p44-dog-0004,5.5629,0.068159,0.018217,932.027,933.871,1.8442
brics-odroid-010_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,932.027,932.027,0.0
brics-odroid-010_cam0,p41-boxing-0021,p44-dog-0004,5.5629,0.068159,0.018217,932.027,933.871,1.8442
brics-odroid-010_cam0,p41-plant-0004,p44-dog-0004,5.5629,0.068159,0.018217,932.027,933.871,1.8442
brics-odroid-010_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,934.134,934.134,0.0
brics-odroid-010_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,934.134,934.134,0.0
brics-odroid-010_cam1,p36-tea-0010,p44-dog-0004,3.5006,0.098487,0.115989,934.134,824.945,109.1891
brics-odroid-010_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,934.134,934.134,0.0
brics-odroid-010_cam1,p41-boxing-0021,p44-dog-0004,3.5006,0.098487,0.115989,934.134,824.945,109.1891
brics-odroid-010_cam1,p41-plant-0004,p44-dog-0004,3.5006,0.098487,0.115989,934.134,824.945,109.1891
brics-odroid-011_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,922.774,922.774,0.0
brics-odroid-011_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,922.774,922.774,0.0
brics-odroid-011_cam0,p36-tea-0010,p44-dog-0004,1.6597,0.031658,0.026969,922.774,938.385,15.6104
brics-odroid-011_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,922.774,922.774,0.0
brics-odroid-011_cam0,p41-boxing-0021,p44-dog-0004,1.6597,0.031658,0.026969,922.774,938.385,15.6104
brics-odroid-011_cam0,p41-plant-0004,p44-dog-0004,1.6597,0.031658,0.026969,922.774,938.385,15.6104
brics-odroid-012_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,926.425,926.425,0.0
brics-odroid-012_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,926.425,926.425,0.0
brics-odroid-012_cam0,p36-tea-0010,p44-dog-0004,1.0937,0.027789,0.003761,926.425,953.768,27.3425
brics-odroid-012_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,926.425,926.425,0.0
brics-odroid-012_cam0,p41-boxing-0021,p44-dog-0004,1.0937,0.027789,0.003761,926.425,953.768,27.3425
brics-odroid-012_cam0,p41-plant-0004,p44-dog-0004,1.0937,0.027789,0.003761,926.425,953.768,27.3425
brics-odroid-012_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,926.515,926.515,0.0
brics-odroid-012_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,926.515,926.515,0.0
brics-odroid-012_cam1,p36-tea-0010,p44-dog-0004,0.8858,0.049667,0.042718,926.515,911.327,15.1882
brics-odroid-012_cam1,p36-tea-0010,p52-instrument-0034,1.2689,0.032901,0.004978,926.515,919.387,7.1277
brics-odroid-012_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,926.515,926.515,0.0
brics-odroid-012_cam1,p41-boxing-0021,p44-dog-0004,0.8858,0.049667,0.042718,926.515,911.327,15.1882
brics-odroid-012_cam1,p41-boxing-0021,p52-instrument-0034,1.2689,0.032901,0.004978,926.515,919.387,7.1277
brics-odroid-012_cam1,p41-plant-0004,p44-dog-0004,0.8858,0.049667,0.042718,926.515,911.327,15.1882
brics-odroid-012_cam1,p41-plant-0004,p52-instrument-0034,1.2689,0.032901,0.004978,926.515,919.387,7.1277
brics-odroid-012_cam1,p44-dog-0004,p52-instrument-0034,2.1525,0.074053,0.046779,911.327,919.387,8.0604
brics-odroid-014_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,922.315,922.315,0.0
brics-odroid-014_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,922.315,922.315,0.0
brics-odroid-014_cam1,p36-tea-0010,p44-dog-0004,1.4643,0.025108,0.014166,922.315,940.467,18.1524
brics-odroid-014_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,922.315,922.315,0.0
brics-odroid-014_cam1,p41-boxing-0021,p44-dog-0004,1.4643,0.025108,0.014166,922.315,940.467,18.1524
brics-odroid-014_cam1,p41-plant-0004,p44-dog-0004,1.4643,0.025108,0.014166,922.315,940.467,18.1524
brics-odroid-015_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,914.979,914.979,0.0
brics-odroid-015_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,914.979,914.979,0.0
brics-odroid-015_cam0,p36-tea-0010,p44-dog-0004,2.2282,0.041828,0.026164,914.979,922.734,7.7549
brics-odroid-015_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,914.979,914.979,0.0
brics-odroid-015_cam0,p41-boxing-0021,p44-dog-0004,2.2282,0.041828,0.026164,914.979,922.734,7.7549
brics-odroid-015_cam0,p41-plant-0004,p44-dog-0004,2.2282,0.041828,0.026164,914.979,922.734,7.7549
brics-odroid-015_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,930.794,930.794,0.0
brics-odroid-015_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,930.794,930.794,0.0
brics-odroid-015_cam1,p36-tea-0010,p44-dog-0004,2.7243,0.057779,0.014136,930.794,941.986,11.1918
brics-odroid-015_cam1,p36-tea-0010,p52-instrument-0034,0.6747,0.011781,0.012047,930.794,908.361,22.4335
brics-odroid-015_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,930.794,930.794,0.0
brics-odroid-015_cam1,p41-boxing-0021,p44-dog-0004,2.7243,0.057779,0.014136,930.794,941.986,11.1918
brics-odroid-015_cam1,p41-boxing-0021,p52-instrument-0034,0.6747,0.011781,0.012047,930.794,908.361,22.4335
brics-odroid-015_cam1,p41-plant-0004,p44-dog-0004,2.7243,0.057779,0.014136,930.794,941.986,11.1918
brics-odroid-015_cam1,p41-plant-0004,p52-instrument-0034,0.6747,0.011781,0.012047,930.794,908.361,22.4335
brics-odroid-015_cam1,p44-dog-0004,p52-instrument-0034,2.763,0.052614,0.010874,941.986,908.361,33.6254
brics-odroid-016_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,919.841,919.841,0.0
brics-odroid-016_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,919.841,919.841,0.0
brics-odroid-016_cam0,p36-tea-0010,p44-dog-0004,2.7822,0.098355,0.043,919.841,986.619,66.7777
brics-odroid-016_cam0,p36-tea-0010,p52-instrument-0034,0.9149,0.029077,0.013174,919.841,924.89,5.0494
brics-odroid-016_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,919.841,919.841,0.0
brics-odroid-016_cam0,p41-boxing-0021,p44-dog-0004,2.7822,0.098355,0.043,919.841,986.619,66.7777
brics-odroid-016_cam0,p41-boxing-0021,p52-instrument-0034,0.9149,0.029077,0.013174,919.841,924.89,5.0494
brics-odroid-016_cam0,p41-plant-0004,p44-dog-0004,2.7822,0.098355,0.043,919.841,986.619,66.7777
brics-odroid-016_cam0,p41-plant-0004,p52-instrument-0034,0.9149,0.029077,0.013174,919.841,924.89,5.0494
brics-odroid-016_cam0,p44-dog-0004,p52-instrument-0034,1.9268,0.069617,0.031288,986.619,924.89,61.7283
brics-odroid-017_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,921.895,921.895,0.0
brics-odroid-017_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,921.895,921.895,0.0
brics-odroid-017_cam0,p36-tea-0010,p44-dog-0004,2.6708,0.058817,0.037037,921.895,917.867,4.0279
brics-odroid-017_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,921.895,921.895,0.0
brics-odroid-017_cam0,p41-boxing-0021,p44-dog-0004,2.6708,0.058817,0.037037,921.895,917.867,4.0279
brics-odroid-017_cam0,p41-plant-0004,p44-dog-0004,2.6708,0.058817,0.037037,921.895,917.867,4.0279
brics-odroid-017_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,938.321,938.321,0.0
brics-odroid-017_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,938.321,938.321,0.0
brics-odroid-017_cam1,p36-tea-0010,p44-dog-0004,2.9297,0.076397,0.038299,938.321,931.661,6.6601
brics-odroid-017_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,938.321,938.321,0.0
brics-odroid-017_cam1,p41-boxing-0021,p44-dog-0004,2.9297,0.076397,0.038299,938.321,931.661,6.6601
brics-odroid-017_cam1,p41-plant-0004,p44-dog-0004,2.9297,0.076397,0.038299,938.321,931.661,6.6601
brics-odroid-019_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,920.926,920.926,0.0
brics-odroid-019_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,920.926,920.926,0.0
brics-odroid-019_cam1,p36-tea-0010,p44-dog-0004,2.052,0.047972,0.014039,920.926,958.993,38.0672
brics-odroid-019_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,920.926,920.926,0.0
brics-odroid-019_cam1,p41-boxing-0021,p44-dog-0004,2.052,0.047972,0.014039,920.926,958.993,38.0672
brics-odroid-019_cam1,p41-plant-0004,p44-dog-0004,2.052,0.047972,0.014039,920.926,958.993,38.0672
brics-odroid-020_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,899.424,899.424,0.0
brics-odroid-020_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,899.424,899.424,0.0
brics-odroid-020_cam0,p36-tea-0010,p44-dog-0004,2.6536,0.051019,0.013304,899.424,931.864,32.4397
brics-odroid-020_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,899.424,899.424,0.0
brics-odroid-020_cam0,p41-boxing-0021,p44-dog-0004,2.6536,0.051019,0.013304,899.424,931.864,32.4397
brics-odroid-020_cam0,p41-plant-0004,p44-dog-0004,2.6536,0.051019,0.013304,899.424,931.864,32.4397
brics-odroid-020_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,925.859,925.859,0.0
brics-odroid-020_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,925.859,925.859,0.0
brics-odroid-020_cam1,p36-tea-0010,p44-dog-0004,1.9561,0.054798,0.015098,925.859,945.562,19.7034
brics-odroid-020_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,925.859,925.859,0.0
brics-odroid-020_cam1,p41-boxing-0021,p44-dog-0004,1.9561,0.054798,0.015098,925.859,945.562,19.7034
brics-odroid-020_cam1,p41-plant-0004,p44-dog-0004,1.9561,0.054798,0.015098,925.859,945.562,19.7034
brics-odroid-021_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,938.355,938.355,0.0
brics-odroid-021_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,938.355,938.355,0.0
brics-odroid-021_cam0,p36-tea-0010,p44-dog-0004,1.6951,0.046529,0.04341,938.355,920.005,18.3502
brics-odroid-021_cam0,p36-tea-0010,p52-instrument-0034,0.8892,0.023719,0.00589,938.355,925.33,13.0253
brics-odroid-021_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,938.355,938.355,0.0
brics-odroid-021_cam0,p41-boxing-0021,p44-dog-0004,1.6951,0.046529,0.04341,938.355,920.005,18.3502
brics-odroid-021_cam0,p41-boxing-0021,p52-instrument-0034,0.8892,0.023719,0.00589,938.355,925.33,13.0253
brics-odroid-021_cam0,p41-plant-0004,p44-dog-0004,1.6951,0.046529,0.04341,938.355,920.005,18.3502
brics-odroid-021_cam0,p41-plant-0004,p52-instrument-0034,0.8892,0.023719,0.00589,938.355,925.33,13.0253
brics-odroid-021_cam0,p44-dog-0004,p52-instrument-0034,1.2549,0.039242,0.040558,920.005,925.33,5.325
brics-odroid-021_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,920.783,920.783,0.0
brics-odroid-021_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,920.783,920.783,0.0
brics-odroid-021_cam1,p36-tea-0010,p44-dog-0004,0.6338,0.032459,0.03254,920.783,920.716,0.0667
brics-odroid-021_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,920.783,920.783,0.0
brics-odroid-021_cam1,p41-boxing-0021,p44-dog-0004,0.6338,0.032459,0.03254,920.783,920.716,0.0667
brics-odroid-021_cam1,p41-plant-0004,p44-dog-0004,0.6338,0.032459,0.03254,920.783,920.716,0.0667
brics-odroid-022_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,916.312,916.312,0.0
brics-odroid-022_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,916.312,916.312,0.0
brics-odroid-022_cam0,p36-tea-0010,p44-dog-0004,3.9928,0.0377,0.030739,916.312,909.549,6.7629
brics-odroid-022_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,916.312,916.312,0.0
brics-odroid-022_cam0,p41-boxing-0021,p44-dog-0004,3.9928,0.0377,0.030739,916.312,909.549,6.7629
brics-odroid-022_cam0,p41-plant-0004,p44-dog-0004,3.9928,0.0377,0.030739,916.312,909.549,6.7629
brics-odroid-022_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,903.016,903.016,0.0
brics-odroid-022_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,903.016,903.016,0.0
brics-odroid-022_cam1,p36-tea-0010,p44-dog-0004,2.0764,0.05964,0.024945,903.016,900.314,2.7028
brics-odroid-022_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,903.016,903.016,0.0
brics-odroid-022_cam1,p41-boxing-0021,p44-dog-0004,2.0764,0.05964,0.024945,903.016,900.314,2.7028
brics-odroid-022_cam1,p41-plant-0004,p44-dog-0004,2.0764,0.05964,0.024945,903.016,900.314,2.7028
brics-odroid-023_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,914.888,914.888,0.0
brics-odroid-023_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,914.888,914.888,0.0
brics-odroid-023_cam0,p36-tea-0010,p44-dog-0004,2.0249,0.077497,0.058838,914.888,901.922,12.9653
brics-odroid-023_cam0,p36-tea-0010,p52-instrument-0034,0.3848,0.011708,0.011306,914.888,918.969,4.0815
brics-odroid-023_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,914.888,914.888,0.0
brics-odroid-023_cam0,p41-boxing-0021,p44-dog-0004,2.0249,0.077497,0.058838,914.888,901.922,12.9653
brics-odroid-023_cam0,p41-boxing-0021,p52-instrument-0034,0.3848,0.011708,0.011306,914.888,918.969,4.0815
brics-odroid-023_cam0,p41-plant-0004,p44-dog-0004,2.0249,0.077497,0.058838,914.888,901.922,12.9653
brics-odroid-023_cam0,p41-plant-0004,p52-instrument-0034,0.3848,0.011708,0.011306,914.888,918.969,4.0815
brics-odroid-023_cam0,p44-dog-0004,p52-instrument-0034,2.3119,0.08802,0.068259,901.922,918.969,17.0468
brics-odroid-024_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,931.895,931.895,0.0
brics-odroid-024_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,931.895,931.895,0.0
brics-odroid-024_cam0,p36-tea-0010,p44-dog-0004,1.0547,0.057071,0.053327,931.895,892.527,39.3678
brics-odroid-024_cam0,p36-tea-0010,p52-instrument-0034,1.7795,0.033908,0.006757,931.895,924.839,7.0568
brics-odroid-024_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,931.895,931.895,0.0
brics-odroid-024_cam0,p41-boxing-0021,p44-dog-0004,1.0547,0.057071,0.053327,931.895,892.527,39.3678
brics-odroid-024_cam0,p41-boxing-0021,p52-instrument-0034,1.7795,0.033908,0.006757,931.895,924.839,7.0568
brics-odroid-024_cam0,p41-plant-0004,p44-dog-0004,1.0547,0.057071,0.053327,931.895,892.527,39.3678
brics-odroid-024_cam0,p41-plant-0004,p52-instrument-0034,1.7795,0.033908,0.006757,931.895,924.839,7.0568
brics-odroid-024_cam0,p44-dog-0004,p52-instrument-0034,1.3905,0.037751,0.052985,892.527,924.839,32.311
brics-odroid-024_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,951.806,951.806,0.0
brics-odroid-024_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,951.806,951.806,0.0
brics-odroid-024_cam1,p36-tea-0010,p44-dog-0004,1.8578,0.068835,0.04085,951.806,920.341,31.4651
brics-odroid-024_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,951.806,951.806,0.0
brics-odroid-024_cam1,p41-boxing-0021,p44-dog-0004,1.8578,0.068835,0.04085,951.806,920.341,31.4651
brics-odroid-024_cam1,p41-plant-0004,p44-dog-0004,1.8578,0.068835,0.04085,951.806,920.341,31.4651
brics-odroid-025_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,913.867,913.867,0.0
brics-odroid-025_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,913.867,913.867,0.0
brics-odroid-025_cam0,p36-tea-0010,p44-dog-0004,3.4119,0.078284,0.0278,913.867,903.565,10.3021
brics-odroid-025_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,913.867,913.867,0.0
brics-odroid-025_cam0,p41-boxing-0021,p44-dog-0004,3.4119,0.078284,0.0278,913.867,903.565,10.3021
brics-odroid-025_cam0,p41-plant-0004,p44-dog-0004,3.4119,0.078284,0.0278,913.867,903.565,10.3021
brics-odroid-025_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,879.873,879.873,0.0
brics-odroid-025_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,879.873,879.873,0.0
brics-odroid-025_cam1,p36-tea-0010,p44-dog-0004,2.0908,0.033977,0.017091,879.873,894.819,14.9462
brics-odroid-025_cam1,p36-tea-0010,p52-instrument-0034,3.407,0.066285,0.012242,879.873,894.409,14.5362
brics-odroid-025_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,879.873,879.873,0.0
brics-odroid-025_cam1,p41-boxing-0021,p44-dog-0004,2.0908,0.033977,0.017091,879.873,894.819,14.9462
brics-odroid-025_cam1,p41-boxing-0021,p52-instrument-0034,3.407,0.066285,0.012242,879.873,894.409,14.5362
brics-odroid-025_cam1,p41-plant-0004,p44-dog-0004,2.0908,0.033977,0.017091,879.873,894.819,14.9462
brics-odroid-025_cam1,p41-plant-0004,p52-instrument-0034,3.407,0.066285,0.012242,879.873,894.409,14.5362
brics-odroid-025_cam1,p44-dog-0004,p52-instrument-0034,1.7661,0.037606,0.025736,894.819,894.409,0.41
brics-odroid-026_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,921.928,921.928,0.0
brics-odroid-026_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,921.928,921.928,0.0
brics-odroid-026_cam0,p36-tea-0010,p44-dog-0004,1.4364,0.046684,0.060397,921.928,895.203,26.7252
brics-odroid-026_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,921.928,921.928,0.0
brics-odroid-026_cam0,p41-boxing-0021,p44-dog-0004,1.4364,0.046684,0.060397,921.928,895.203,26.7252
brics-odroid-026_cam0,p41-plant-0004,p44-dog-0004,1.4364,0.046684,0.060397,921.928,895.203,26.7252
brics-odroid-026_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,927.794,927.794,0.0
brics-odroid-026_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,927.794,927.794,0.0
brics-odroid-026_cam1,p36-tea-0010,p44-dog-0004,1.9342,0.024947,0.01103,927.794,935.543,7.7491
brics-odroid-026_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,927.794,927.794,0.0
brics-odroid-026_cam1,p41-boxing-0021,p44-dog-0004,1.9342,0.024947,0.01103,927.794,935.543,7.7491
brics-odroid-026_cam1,p41-plant-0004,p44-dog-0004,1.9342,0.024947,0.01103,927.794,935.543,7.7491
brics-odroid-027_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,917.45,917.45,0.0
