sequence,camera,frame,hand,condition,alpha,pipeline_focal,gt_native_fx,gt_native_fy,gt_effective_focal,focal_used_px,bbox_size,pred_cam_scale,detector_score,pred_is_right,pred_root_x,pred_root_y,pred_root_z,ref_root_x,ref_root_y,ref_root_z,signed_z_error_mm,abs_z_error_mm,root_xyz_error_mm,absolute_mpjpe_mm,root_aligned_mpjpe_mm,delta_from_gt_focal_z_mm,delta_from_gt_focal_root_mm,delta_from_gt_focal_joint_mm,pred_z_ratio_vs_alpha1
p36-tea-0010,brics-odroid-001_cam1,22,right,GT_x0.90,0.9,5000.0,918.3541,916.5334,918.3541,826.5187,278.0,10.819468,0.8337,1,0.421824,0.071707,0.555886,0.447408,0.121206,0.449271,106.615,106.615,120.297,77.258,63.824,-61.065,61.065,61.065,0.9
p36-tea-0010,brics-odroid-001_cam1,22,right,GT_x0.95,0.95,5000.0,918.3541,916.5334,918.3541,872.4364,278.0,10.819468,0.8337,1,0.421824,0.071707,0.586419,0.447408,0.121206,0.449271,137.147,137.147,148.034,97.748,63.824,-30.532,30.532,30.532,0.95
p36-tea-0010,brics-odroid-001_cam1,22,right,GT_x1.00,1.0,5000.0,918.3541,916.5334,918.3541,918.3541,278.0,10.819468,0.8337,1,0.421824,0.071707,0.616951,0.447408,0.121206,0.449271,167.679,167.679,176.695,122.728,63.824,0.0,0.0,0.0,1.0
p36-tea-0010,brics-odroid-001_cam1,22,right,GT_x1.05,1.05,5000.0,918.3541,916.5334,918.3541,964.2718,278.0,10.819468,0.8337,1,0.421824,0.071707,0.647483,0.447408,0.121206,0.449271,198.212,198.212,205.895,149.884,63.824,30.532,30.532,30.532,1.05
p36-tea-0010,brics-odroid-001_cam1,22,right,GT_x1.10,1.1,5000.0,918.3541,916.5334,918.3541,1010.1895,278.0,10.819468,0.8337,1,0.421824,0.071707,0.678015,0.447408,0.121206,0.449271,228.744,228.744,235.433,178.179,63.824,61.065,61.065,61.065,1.1
p36-tea-0010,brics-odroid-001_cam1,22,right,GT_x1.20,1.2,5000.0,918.3541,916.5334,918.3541,1102.0249,278.0,10.819468,0.8337,1,0.421824,0.071707,0.73908,0.447408,0.121206,0.449271,289.808,289.808,295.116,236.486,63.824,122.129,122.129,122.129,1.2
p36-tea-0010,brics-odroid-001_cam1,23,right,PIPELINE_BASELINE,,5000.0,918.3541,916.5334,918.3541,5000.0,281.0,11.056936,0.8192,1,0.400567,0.059305,3.224739,0.435396,0.107607,0.452944,2771.796,2771.796,2772.435,2707.266,68.648,2627.388,2627.388,2627.388,5.444523
p36-tea-0010,brics-odroid-001_cam1,23,right,GT_x0.80,0.8,5000.0,918.3541,916.5334,918.3541,734.6833,281.0,11.056936,0.8192,1,0.400567,0.059305,0.479121,0.435396,0.107607,0.452944,26.177,26.177,65.049,80.942,68.648,-118.23,118.23,118.23,0.8
p36-tea-0010,brics-odroid-001_cam1,23,right,GT_x0.90,0.9,5000.0,918.3541,916.5334,918.3541,826.5187,281.0,11.056936,0.8192,1,0.400567,0.059305,0.538236,0.435396,0.107607,0.452944,85.293,85.293,104.024,73.577,68.648,-59.115,59.115,59.115,0.9
p36-tea-0010,brics-odroid-001_cam1,23,right,GT_x0.95,0.95,5000.0,918.3541,916.5334,918.3541,872.4364,281.0,11.056936,0.8192,1,0.400567,0.059305,0.567794,0.435396,0.107607,0.452944,114.85,114.85,129.37,85.482,68.648,-29.558,29.558,29.558,0.95
p36-tea-0010,brics-odroid-001_cam1,23,right,GT_x1.00,1.0,5000.0,918.3541,916.5334,918.3541,918.3541,281.0,11.056936,0.8192,1,0.400567,0.059305,0.597351,0.435396,0.107607,0.452944,144.408,144.408,156.204,104.811,68.648,0.0,0.0,0.0,1.0
p36-tea-0010,brics-odroid-001_cam1,23,right,GT_x1.05,1.05,5000.0,918.3541,916.5334,918.3541,964.2718,281.0,11.056936,0.8192,1,0.400567,0.059305,0.626909,0.435396,0.107607,0.452944,173.965,173.965,183.875,128.314,68.648,29.558,29.558,29.558,1.05
p36-tea-0010,brics-odroid-001_cam1,23,right,GT_x1.10,1.1,5000.0,918.3541,916.5334,918.3541,1010.1895,281.0,11.056936,0.8192,1,0.400567,0.059305,0.656467,0.435396,0.107607,0.452944,203.523,203.523,212.056,154.017,68.648,59.115,59.115,59.115,1.1
p36-tea-0010,brics-odroid-001_cam1,23,right,GT_x1.20,1.2,5000.0,918.3541,916.5334,918.3541,1102.0249,281.0,11.056936,0.8192,1,0.400567,0.059305,0.715582,0.435396,0.107607,0.452944,262.638,262.638,269.305,208.604,68.648,118.23,118.23,118.23,1.2
p36-tea-0010,brics-odroid-001_cam1,24,right,PIPELINE_BASELINE,,5000.0,918.3541,916.5334,918.3541,5000.0,281.0,11.374291,0.8328,1,0.380167,0.049288,3.134935,0.420046,0.095379,0.459563,2675.372,2675.372,2676.066,2613.053,66.135,2554.081,2554.081,2554.081,5.444523
p36-tea-0010,brics-odroid-001_cam1,24,right,GT_x0.80,0.8,5000.0,918.3541,916.5334,918.3541,734.6833,281.0,11.374291,0.8328,1,0.380167,0.049288,0.465923,0.420046,0.095379,0.459563,6.359,6.359,61.279,91.116,66.135,-114.932,114.932,114.932,0.8
p36-tea-0010,brics-odroid-001_cam1,24,right,GT_x0.90,0.9,5000.0,918.3541,916.5334,918.3541,826.5187,281.0,11.374291,0.8328,1,0.380167,0.049288,0.523389,0.420046,0.095379,0.459563,63.825,63.825,88.252,72.292,66.135,-57.466,57.466,57.466,0.9
p36-tea-0010,brics-odroid-001_cam1,24,right,GT_x0.95,0.95,5000.0,918.3541,916.5334,918.3541,872.4364,281.0,11.374291,0.8328,1,0.380167,0.049288,0.552121,0.420046,0.095379,0.459563,92.558,92.558,110.823,77.436,66.135,-28.733,28.733,28.733,0.95
p36-tea-0010,brics-odroid-001_cam1,24,right,GT_x1.00,1.0,5000.0,918.3541,916.5334,918.3541,918.3541,281.0,11.374291,0.8328,1,0.380167,0.049288,0.580854,0.420046,0.095379,0.459563,121.291,121.291,135.743,91.526,66.135,0.0,0.0,0.0,1.0
p36-tea-0010,brics-odroid-001_cam1,24,right,GT_x1.05,1.05,5000.0,918.3541,916.5334,918.3541,964.2718,281.0,11.374291,0.8328,1,0.380167,0.049288,0.609587,0.420046,0.095379,0.459563,150.024,150.024,161.932,111.554,66.135,28.733,28.733,28.733,1.05
p36-tea-0010,brics-odroid-001_cam1,24,right,GT_x1.10,1.1,5000.0,918.3541,916.5334,918.3541,1010.1895,281.0,11.374291,0.8328,1,0.380167,0.049288,0.63832,0.420046,0.095379,0.459563,178.757,178.757,188.862,134.912,66.135,57.466,57.466,57.466,1.1
p36-tea-0010,brics-odroid-001_cam1,24,right,GT_x1.20,1.2,5000.0,918.3541,916.5334,918.3541,1102.0249,281.0,11.374291,0.8328,1,0.380167,0.049288,0.695786,0.420046,0.095379,0.459563,236.223,236.223,243.959,186.353,66.135,114.932,114.932,114.932,1.2
p36-tea-0010,brics-odroid-001_cam1,25,right,PIPELINE_BASELINE,,5000.0,918.3541,916.5334,918.3541,5000.0,275.0,11.841445,0.8525,1,0.362505,0.040892,3.077094,0.405473,0.083375,0.465307,2611.787,2611.787,2612.486,2554.891,60.311,2506.848,2506.848,2506.848,5.444523
p36-tea-0010,brics-odroid-001_cam1,25,right,GT_x0.80,0.8,5000.0,918.3541,916.5334,918.3541,734.6833,275.0,11.841445,0.8525,1,0.362505,0.040892,0.45744,0.405473,0.083375,0.465307,-7.867,7.867,60.934,96.436,60.311,-112.806,112.806,112.806,0.8
p36-tea-0010,brics-odroid-001_cam1,25,right,GT_x0.90,0.9,5000.0,918.3541,916.5334,918.3541,826.5187,275.0,11.841445,0.8525,1,0.362505,0.040892,0.513843,0.405473,0.083375,0.465307,48.536,48.536,77.503,72.428,60.311,-56.403,56.403,56.403,0.9
p36-tea-0010,brics-odroid-001_cam1,25,right,GT_x0.95,0.95,5000.0,918.3541,916.5334,918.3541,872.4364,275.0,11.841445,0.8525,1,0.362505,0.040892,0.542045,0.405473,0.083375,0.465307,76.738,76.738,97.671,74.034,60.311,-28.202,28.202,28.202,0.95
p36-tea-0010,brics-odroid-001_cam1,25,right,GT_x1.00,1.0,5000.0,918.3541,916.5334,918.3541,918.3541,275.0,11.841445,0.8525,1,0.362505,0.040892,0.570246,0.405473,0.083375,0.465307,104.939,104.939,121.092,85.096,60.311,0.0,0.0,0.0,1.0
p36-tea-0010,brics-odroid-001_cam1,25,right,GT_x1.05,1.05,5000.0,918.3541,916.5334,918.3541,964.2718,275.0,11.841445,0.8525,1,0.362505,0.040892,0.598448,0.405473,0.083375,0.465307,133.141,133.141,146.21,102.977,60.311,28.202,28.202,28.202,1.05
p36-tea-0010,brics-odroid-001_cam1,25,right,GT_x1.10,1.1,5000.0,918.3541,916.5334,918.3541,1010.1895,275.0,11.841445,0.8525,1,0.362505,0.040892,0.626649,0.405473,0.083375,0.465307,161.342,161.342,172.286,124.862,60.311,56.403,56.403,56.403,1.1
p36-tea-0010,brics-odroid-001_cam1,25,right,GT_x1.20,1.2,5000.0,918.3541,916.5334,918.3541,1102.0249,275.0,11.841445,0.8525,1,0.362505,0.040892,0.683052,0.405473,0.083375,0.465307,217.745,217.745,225.974,174.337,60.311,112.806,112.806,112.806,1.2
